Age,Muni,Amount
Totaal,Aa en Hunze,25286
Totaal,Aalburg,13067
Totaal,Aalsmeer,31373
Totaal,Aalten,27047
Totaal,Achtkarspelen,27893
Totaal,Alblasserdam,20008
Totaal,Albrandswaard,25105
Totaal,Alkmaar,108373
Totaal,Almelo,72479
Totaal,Almere,200914
Totaal,Alphen aan den Rijn,108915
Totaal,Alphen-Chaam,10058
Totaal,Ameland,3633
Totaal,Amersfoort,154337
Totaal,Amstelveen,89294
Totaal,Amsterdam,844947
Totaal,Apeldoorn,160047
Totaal,Appingedam,11971
Totaal,Arnhem,155699
Totaal,Assen,67551
Totaal,Asten,16714
Totaal,Baarle-Nassau,6657
Totaal,Baarn,24529
Totaal,Barendrecht,48344
Totaal,Barneveld,56376
Totaal,Bedum,10479
Totaal,Beek (L.),15951
Totaal,Beemster,9205
Totaal,Beesel,13405
Totaal,Bellingwedde,8919
Totaal,Berg en Dal,34764
Totaal,Bergeijk,18342
Totaal,Bergen (L.),13095
Totaal,Bergen (NH.),29844
Totaal,Bergen op Zoom,66164
Totaal,Berkelland,44238
Totaal,Bernheze,30252
Totaal,Best,29180
Totaal,Beuningen,25424
Totaal,Beverwijk,40709
Totaal,het Bildt,10493
Totaal,De Bilt,42754
Totaal,Binnenmaas,29122
Totaal,Bladel,20063
Totaal,Blaricum,10201
Totaal,Bloemendaal,22826
Totaal,Bodegraven-Reeuwijk,33733
Totaal,Boekel,10414
Totaal,Ten Boer,7288
Totaal,Borger-Odoorn,25355
Totaal,Borne,22795
Totaal,Borsele,22688
Totaal,Boxmeer,28709
Totaal,Boxtel,30655
Totaal,Breda,182304
Totaal,Brielle,16833
Totaal,Bronckhorst,36410
Totaal,Brummen,20843
Totaal,Brunssum,28358
Totaal,Bunnik,15156
Totaal,Bunschoten,21020
Totaal,Buren,26348
Totaal,Capelle aan den IJssel,66421
Totaal,Castricum,35216
Totaal,Coevorden,35286
Totaal,Cranendonck,20676
Totaal,Cromstrijen,12797
Totaal,Cuijk,24696
Totaal,Culemborg,27864
Totaal,Dalfsen,28070
Totaal,Dantumadiel,18942
Totaal,Delft,101381
Totaal,Delfzijl,24965
Totaal,Deurne,31933
Totaal,Deventer,99295
Totaal,Diemen,27272
Totaal,Dinkelland,26244
Totaal,Doesburg,11341
Totaal,Doetinchem,57068
Totaal,Dongen,25509
Totaal,Dongeradeel,23901
Totaal,Dordrecht,118731
Totaal,Drechterland,19384
Totaal,Drimmelen,26869
Totaal,Dronten,40746
Totaal,Druten,18563
Totaal,Duiven,25398
Totaal,Echt-Susteren,31815
Totaal,Edam-Volendam,35800
Totaal,Ede,113421
Totaal,Eemnes,8999
Totaal,Eemsmond,15656
Totaal,Eersel,18554
Totaal,Eijsden-Margraten,25297
Totaal,Eindhoven,226868
Totaal,Elburg,23026
Totaal,Emmen,107490
Totaal,Enkhuizen,18479
Totaal,Enschede,158140
Totaal,Epe,32537
Totaal,Ermelo,26590
Totaal,Etten-Leur,43027
Totaal,Ferwerderadiel,8735
Totaal,Franekeradeel,20215
Totaal,De Fryske Marren,51585
Totaal,Geertruidenberg,21504
Totaal,Geldermalsen,26587
Totaal,Geldrop-Mierlo,39078
Totaal,Gemert-Bakel,30024
Totaal,Gennep,17129
Totaal,Giessenlanden,14596
Totaal,Gilze en Rijen,26220
Totaal,Goeree-Overflakkee,48653
Totaal,Goes,37274
Totaal,Goirle,23317
Totaal,Gooise Meren,56935
Totaal,Gorinchem,35755
Totaal,Gouda,71752
Totaal,Grave,12370
Totaal,'s-Gravenhage (gemeente),524882
Totaal,Groningen (gemeente),202636
Totaal,Grootegast,12166
Totaal,Gulpen-Wittem,14337
Totaal,Haaksbergen,24272
Totaal,Haaren,13912
Totaal,Haarlem,159229
Totaal,Haarlemmerliede en Spaarnwoude,5665
Totaal,Haarlemmermeer,146003
Totaal,Halderberge,29579
Totaal,Hardenberg,60211
Totaal,Harderwijk,46352
Totaal,Hardinxveld-Giessendam,17872
Totaal,Haren,19570
Totaal,Harlingen,15860
Totaal,Hattem,12040
Totaal,Heemskerk,39171
Totaal,Heemstede,26936
Totaal,Heerde,18561
Totaal,Heerenveen,50203
Totaal,Heerhugowaard,54950
Totaal,Heerlen,87189
Totaal,Heeze-Leende,15714
Totaal,Heiloo,22857
Totaal,Den Helder,56020
Totaal,Hellendoorn,35772
Totaal,Hellevoetsluis,38722
Totaal,Helmond,90602
Totaal,Hendrik-Ido-Ambacht,29731
Totaal,Hengelo (O.),80802
Totaal,'s-Hertogenbosch,152411
Totaal,Heumen,16475
Totaal,Heusden,43516
Totaal,Hillegom,21316
Totaal,Hilvarenbeek,15283
Totaal,Hilversum,88888
Totaal,Hof van Twente,35011
Totaal,Hollands Kroon,47600
Totaal,Hoogeveen,55311
Totaal,Hoogezand-Sappemeer,34232
Totaal,Hoorn,72493
Totaal,Horst aan de Maas,42139
Totaal,Houten,49300
Totaal,Huizen,41382
Totaal,Hulst,27395
Totaal,IJsselstein,34208
Totaal,Kaag en Braassem,26374
Totaal,Kampen,52511
Totaal,Kapelle,12622
Totaal,Katwijk,64532
Totaal,Kerkrade,45937
Totaal,Koggenland,22522
Totaal,Kollumerland en Nieuwkruisland,12872
Totaal,Korendijk,10959
Totaal,Krimpen aan den IJssel,29123
Totaal,Krimpenerwaard,55204
Totaal,Laarbeek,21942
Totaal,Landerd,15332
Totaal,Landgraaf,37458
Totaal,Landsmeer,11275
Totaal,Langedijk,27608
Totaal,Lansingerland,60105
Totaal,Laren (NH.),11088
Totaal,Leek,19643
Totaal,Leerdam,20905
Totaal,Leeuwarden,108667
Totaal,Leeuwarderadeel,10108
Totaal,Leiden,123661
Totaal,Leiderdorp,27128
Totaal,Leidschendam-Voorburg,74604
Totaal,Lelystad,76937
Totaal,Leudal,35878
Totaal,Leusden,29677
Totaal,Lingewaal,11158
Totaal,Lingewaard,46182
Totaal,Lisse,22717
Totaal,Littenseradiel,10746
Totaal,Lochem,33545
Totaal,Loon op Zand,23093
Totaal,Lopik,14208
Totaal,Loppersum,9914
Totaal,Losser,22482
Totaal,Maasdriel,24250
Totaal,Maasgouw,23774
Totaal,Maassluis,32450
Totaal,Maastricht,122753
Totaal,De Marne,10088
Totaal,Marum,10388
Totaal,Medemblik,44058
Totaal,Meerssen,19072
Totaal,Meierijstad,79869
Totaal,Menameradiel,13454
Totaal,Menterwolde,12162
Totaal,Meppel,33025
Totaal,Middelburg (Z.),48019
Totaal,Midden-Delfland,19034
Totaal,Midden-Drenthe,33399
Totaal,Mill en Sint Hubert,10807
Totaal,Moerdijk,36944
Totaal,Molenwaard,29212
Totaal,Montferland,35316
Totaal,Montfoort,13866
Totaal,Mook en Middelaar,7775
Totaal,Neder-Betuwe,23303
Totaal,Nederweert,16864
Totaal,Neerijnen,12344
Totaal,Nieuwegein,61868
Totaal,Nieuwkoop,27914
Totaal,Nijkerk,41775
Totaal,Nijmegen,173556
Totaal,Nissewaard,85401
Totaal,Noord-Beveland,7382
Totaal,Noordenveld,32981
Totaal,Noordoostpolder,46544
Totaal,Noordwijk,25867
Totaal,Noordwijkerhout,16318
Totaal,Nuenen,
Totaal,Nunspeet,26892
Totaal,Nuth,15305
Totaal,Oegstgeest,23608
Totaal,Oirschot,18499
Totaal,Oisterwijk,25936
Totaal,Oldambt,38108
Totaal,Oldebroek,23256
Totaal,Oldenzaal,32006
Totaal,Olst-Wijhe,17957
Totaal,Ommen,17531
Totaal,Onderbanken,7865
Totaal,Oost Gelre,29634
Totaal,Oosterhout,54604
Totaal,Ooststellingwerf,25540
Totaal,Oostzaan,9652
Totaal,Opmeer,11420
Totaal,Opsterland,29718
Totaal,Oss,90376
Totaal,Oud-Beijerland,24015
Totaal,Oude IJsselstreek,39568
Totaal,Ouder-Amstel,13419
Totaal,Oudewater,10187
Totaal,Overbetuwe,47394
Totaal,Papendrecht,32292
Totaal,Peel en Maas,43347
Totaal,Pekela,12517
Totaal,Pijnacker-Nootdorp,52656
Totaal,Purmerend,79928
Totaal,Putten,24428
Totaal,Raalte,36907
Totaal,Reimerswaal,22356
Totaal,Renkum,31391
Totaal,Renswoude,5101
Totaal,Reusel-De Mierden,12908
Totaal,Rheden,43645
Totaal,Rhenen,19597
Totaal,Ridderkerk,45408
Totaal,Rijnwaarden,10852
Totaal,Rijssen-Holten,37983
Totaal,Rijswijk (ZH.),51027
Totaal,Roerdalen,20700
Totaal,Roermond,57390
Totaal,De Ronde Venen,42763
Totaal,Roosendaal,77163
Totaal,Rotterdam,634660
Totaal,Rozendaal,1498
Totaal,Rucphen,22345
Totaal,Schagen,46193
Totaal,Scherpenzeel,9704
Totaal,Schiedam,77838
Totaal,Schiermonnikoog,941
Totaal,Schinnen,12954
Totaal,Schouwen-Duiveland,33765
Totaal,Simpelveld,10571
Totaal,Sint Anthonis,11594
Totaal,Sint-Michielsgestel,28584
Totaal,Sittard-Geleen,93319
Totaal,Sliedrecht,25012
Totaal,Slochteren,14737
Totaal,Sluis,23658
Totaal,Smallingerland,55695
Totaal,Soest,45874
Totaal,Someren,19036
Totaal,Son en Breugel,16626
Totaal,Stadskanaal,32252
Totaal,Staphorst,16691
Totaal,Stede Broec,21552
Totaal,Steenbergen,23970
Totaal,Steenwijkerland,43448
Totaal,Stein (L.),25059
Totaal,Stichtse Vecht,64450
Totaal,Strijen,8785
Totaal,Súdwest-Fryslân,84158
Totaal,Terneuzen,54588
Totaal,Terschelling,4859
Totaal,Texel,13545
Totaal,Teylingen,36093
Totaal,Tholen,25527
Totaal,Tiel,41488
Totaal,Tilburg,213804
Totaal,Tubbergen,21153
Totaal,Twenterand,33845
Totaal,Tynaarlo,33280
Totaal,Tytsjerksteradiel,31963
Totaal,Uden,41384
Totaal,Uitgeest,13465
Totaal,Uithoorn,29201
Totaal,Urk,20220
Totaal,Utrecht (gemeente),343038
Totaal,Utrechtse Heuvelrug,49035
Totaal,Vaals,9710
Totaal,Valkenburg aan de Geul,16440
Totaal,Valkenswaard,30516
Totaal,Veendam,27527
Totaal,Veenendaal,64277
Totaal,Veere,21900
Totaal,Veldhoven,44724
Totaal,Velsen,67619
Totaal,Venlo,101059
Totaal,Venray,43565
Totaal,Vianen,19714
Totaal,Vlaardingen,71999
Totaal,Vlagtwedde,15908
Totaal,Vlieland,1085
Totaal,Vlissingen,44394
Totaal,Voerendaal,12462
Totaal,Voorschoten,25315
Totaal,Voorst,24199
Totaal,Vught,26183
Totaal,Waalre,16898
Totaal,Waalwijk,47410
Totaal,Waddinxveen,26536
Totaal,Wageningen,38458
Totaal,Wassenaar,26055
