Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
,,Onderwerpen,Mannen en vrouwen,Mannen,Vrouwen,Mannen en vrouwen,Mannen,Vrouwen
,,Perioden,2017,2017,2017,2017,2017,2017
Leeftijd,Regio's,Migratieachtergrond,aantal,aantal,aantal,aantal,aantal,aantal
Totaal,Aa en Hunze,Totaal,25286,12603,12683,648,302,346
Totaal,Aa en Hunze,Nederlandse achtergrond,23702,11834,11868, , , 
Totaal,Aa en Hunze,Westerse migratieachtergrond,1056,506,550,336,159,177
Totaal,Aa en Hunze,Niet-westerse migratieachtergrond,528,263,265,312,143,169
Totaal,Aalburg,Totaal,13067,6615,6452,445,213,232
Totaal,Aalburg,Nederlandse achtergrond,12308,6239,6069, , , 
Totaal,Aalburg,Westerse migratieachtergrond,497,257,240,271,135,136
Totaal,Aalburg,Niet-westerse migratieachtergrond,262,119,143,174,78,96
Totaal,Aalsmeer,Totaal,31373,15516,15857,3134,1456,1678
Totaal,Aalsmeer,Nederlandse achtergrond,25517,12692,12825, , , 
Totaal,Aalsmeer,Westerse migratieachtergrond,3491,1698,1793,1887,874,1013
Totaal,Aalsmeer,Niet-westerse migratieachtergrond,2365,1126,1239,1247,582,665
Totaal,Aalten,Totaal,27047,13625,13422,1398,689,709
Totaal,Aalten,Nederlandse achtergrond,23894,12028,11866, , , 
Totaal,Aalten,Westerse migratieachtergrond,2182,1054,1128,806,347,459
Totaal,Aalten,Niet-westerse migratieachtergrond,971,543,428,592,342,250
Totaal,Achtkarspelen,Totaal,27893,14185,13708,577,289,288
Totaal,Achtkarspelen,Nederlandse achtergrond,26739,13625,13114, , , 
Totaal,Achtkarspelen,Westerse migratieachtergrond,622,297,325,213,97,116
Totaal,Achtkarspelen,Niet-westerse migratieachtergrond,532,263,269,364,192,172
Totaal,Alblasserdam,Totaal,20008,9809,10199,1306,627,679
Totaal,Alblasserdam,Nederlandse achtergrond,17220,8441,8779, , , 
Totaal,Alblasserdam,Westerse migratieachtergrond,1347,659,688,565,262,303
Totaal,Alblasserdam,Niet-westerse migratieachtergrond,1441,709,732,741,365,376
Totaal,Albrandswaard,Totaal,25105,12450,12655,2079,947,1132
Totaal,Albrandswaard,Nederlandse achtergrond,20147,10003,10144, , , 
Totaal,Albrandswaard,Westerse migratieachtergrond,1920,909,1011,676,278,398
Totaal,Albrandswaard,Niet-westerse migratieachtergrond,3038,1538,1500,1403,669,734
Totaal,Alkmaar,Totaal,108373,53659,54714,12120,5866,6254
Totaal,Alkmaar,Nederlandse achtergrond,84442,41686,42756, , , 
Totaal,Alkmaar,Westerse migratieachtergrond,10256,4875,5381,4488,1972,2516
Totaal,Alkmaar,Niet-westerse migratieachtergrond,13675,7098,6577,7632,3894,3738
Totaal,Almelo,Totaal,72479,36165,36314,8864,4299,4565
Totaal,Almelo,Nederlandse achtergrond,54219,27008,27211, , , 
Totaal,Almelo,Westerse migratieachtergrond,7246,3499,3747,2845,1291,1554
Totaal,Almelo,Niet-westerse migratieachtergrond,11014,5658,5356,6019,3008,3011
Totaal,Almere,Totaal,200914,99673,101241,40853,19037,21816
Totaal,Almere,Nederlandse achtergrond,118944,59907,59037, , , 
Totaal,Almere,Westerse migratieachtergrond,20838,9913,10925,9305,3988,5317
Totaal,Almere,Niet-westerse migratieachtergrond,61132,29853,31279,31548,15049,16499
Totaal,Alphen aan den Rijn,Totaal,108915,54164,54751,10210,4879,5331
Totaal,Alphen aan den Rijn,Nederlandse achtergrond,87992,43854,44138, , , 
Totaal,Alphen aan den Rijn,Westerse migratieachtergrond,9597,4649,4948,4295,1939,2356
Totaal,Alphen aan den Rijn,Niet-westerse migratieachtergrond,11326,5661,5665,5915,2940,2975
Totaal,Alphen-Chaam,Totaal,10058,5121,4937,580,257,323
Totaal,Alphen-Chaam,Nederlandse achtergrond,8665,4432,4233, , , 
Totaal,Alphen-Chaam,Westerse migratieachtergrond,1160,572,588,429,186,243
Totaal,Alphen-Chaam,Niet-westerse migratieachtergrond,233,117,116,151,71,80
Totaal,Ameland,Totaal,3633,1799,1834,129,58,71
Totaal,Ameland,Nederlandse achtergrond,3387,1683,1704, , , 
Totaal,Ameland,Westerse migratieachtergrond,185,84,101,93,41,52
Totaal,Ameland,Niet-westerse migratieachtergrond,61,32,29,36,17,19
Totaal,Amersfoort,Totaal,154337,75943,78394,17232,8050,9182
Totaal,Amersfoort,Nederlandse achtergrond,117482,57935,59547, , , 
Totaal,Amersfoort,Westerse migratieachtergrond,13483,6241,7242,5078,2065,3013
Totaal,Amersfoort,Niet-westerse migratieachtergrond,23372,11767,11605,12154,5985,6169
Totaal,Amstelveen,Totaal,89294,42739,46555,22889,10820,12069
Totaal,Amstelveen,Nederlandse achtergrond,52628,25162,27466, , , 
Totaal,Amstelveen,Westerse migratieachtergrond,16919,7935,8984,9899,4521,5378
Totaal,Amstelveen,Niet-westerse migratieachtergrond,19747,9642,10105,12990,6299,6691
Totaal,Amsterdam,Totaal,844947,418127,426820,254282,125464,128818
Totaal,Amsterdam,Nederlandse achtergrond,401260,197744,203516, , , 
Totaal,Amsterdam,Westerse migratieachtergrond,147614,71198,76416,90127,42760,47367
Totaal,Amsterdam,Niet-westerse migratieachtergrond,296073,149185,146888,164155,82704,81451
Totaal,Apeldoorn,Totaal,160047,79491,80556,12385,5984,6401
Totaal,Apeldoorn,Nederlandse achtergrond,133281,66050,67231, , , 
Totaal,Apeldoorn,Westerse migratieachtergrond,12994,6263,6731,4815,2104,2711
Totaal,Apeldoorn,Niet-westerse migratieachtergrond,13772,7178,6594,7570,3880,3690
Totaal,Appingedam,Totaal,11971,5802,6169,684,349,335
Totaal,Appingedam,Nederlandse achtergrond,10354,4997,5357, , , 
Totaal,Appingedam,Westerse migratieachtergrond,879,422,457,312,149,163
Totaal,Appingedam,Niet-westerse migratieachtergrond,738,383,355,372,200,172
Totaal,Arnhem,Totaal,155699,77707,77992,24535,12123,12412
