Gemeente;Perioden;1 000 euro
Aa en Hunze;2015;26.2
Aalburg;2015;26.0
Aalsmeer;2015;29.0
Aalten;2015;23.8
Achtkarspelen;2015;21.5
Alblasserdam;2015;25.2
Albrandswaard;2015;30.2
Alkmaar;2015;24.8
Almelo;2015;22.5
Almere;2015;24.8
Alphen aan den Rijn;2015;26.7
Alphen-Chaam;2015;27.8
Ameland;2015;22.7
Amersfoort;2015;26.9
Amstelveen;2015;29.7
Amsterdam;2015;25.3
Apeldoorn;2015;25.4
Appingedam;2015;22.3
Arnhem;2015;23.2
Assen;2015;23.7
Asten;2015;25.6
Baarle-Nassau;2015;25.1
Baarn;2015;29.2
Barendrecht;2015;29.4
Barneveld;2015;25.8
Bedum;2015;24.3
Beek (L.);2015;25.5
Beemster;2015;29.4
Beesel;2015;24.0
Bellingwedde;2015;22.6
Berg en Dal;2015; 
Bergeijk;2015;26.6
Bergen (L.);2015;24.1
Bergen (NH.);2015;29.9
Bergen op Zoom;2015;25.0
Berkelland;2015;24.4
Bernheze;2015;26.7
Best;2015;27.6
Beuningen;2015;26.3
Beverwijk;2015;24.1
het Bildt;2015;21.9
De Bilt;2015;31.9
Binnenmaas;2015;28.5
Bladel;2015;26.0
Blaricum;2015;39.0
Bloemendaal;2015;41.8
Bodegraven-Reeuwijk;2015;29.4
Boekel;2015;25.4
Ten Boer;2015;24.7
Borger-Odoorn;2015;23.9
Borne;2015;26.0
Borsele;2015;25.7
Boxmeer;2015;26.2
Boxtel;2015;25.6
Breda;2015;26.4
Brielle;2015;28.3
Bronckhorst;2015;25.9
Brummen;2015;25.9
Brunssum;2015;22.1
Bunnik;2015;30.9
Bunschoten;2015;26.1
Buren;2015;27.4
Capelle aan den IJssel;2015;25.5
Castricum;2015;29.5
Coevorden;2015;24.0
Cranendonck;2015;25.8
Cromstrijen;2015;28.3
Cuijk;2015;24.5
Culemborg;2015;25.8
Dalfsen;2015;25.5
Dantumadiel;2015;21.9
Delft;2015;24.5
Delfzijl;2015;22.4
Deurne;2015;24.9
Deventer;2015;24.1
Diemen;2015;26.2
Dinkelland;2015;26.0
Doesburg;2015;23.3
Doetinchem;2015;24.3
Dongen;2015;25.6
Dongeradeel;2015;22.1
Dordrecht;2015;24.2
Drechterland;2015;26.4
Drimmelen;2015;26.8
Dronten;2015;25.3
Druten;2015;25.1
Duiven;2015;25.5
Echt-Susteren;2015;24.9
Edam-Volendam;2015;27.6
Ede;2015;25.7
Eemnes;2015;29.0
Eemsmond;2015;22.1
Eersel;2015;28.2
Eijsden-Margraten;2015;27.3
Eindhoven;2015;24.6
Elburg;2015;24.4
Emmen;2015;22.3
Enkhuizen;2015;24.1
Enschede;2015;22.2
Epe;2015;26.0
Ermelo;2015;26.9
Etten-Leur;2015;25.8
Ferwerderadiel;2015;22.8
Franekeradeel;2015;22.4
De Fryske Marren;2015; 
Geertruidenberg;2015;25.4
Geldermalsen;2015;27.7
Geldrop-Mierlo;2015;25.9
Gemert-Bakel;2015;24.9
Gennep;2015;24.6
Giessenlanden;2015;28.7
Gilze en Rijen;2015;25.4
Goeree-Overflakkee;2015;26.2
Goes;2015;25.4
Goirle;2015;27.0
Gooise Meren;2015; 
Gorinchem;2015;25.0
Gouda;2015;25.4
Grave;2015;25.3
's-Gravenhage (gemeente);2015;24.3
Groningen (gemeente);2015;22.6
Grootegast;2015;22.9
Gulpen-Wittem;2015;25.6
Haaksbergen;2015;24.8
Haaren;2015;29.0
Haarlem;2015;26.1
Haarlemmerliede en Spaarnwoude;2015;28.6
Haarlemmermeer;2015;28.0
Halderberge;2015;25.7
Hardenberg;2015;23.6
Harderwijk;2015;25.1
Hardinxveld-Giessendam;2015;25.7
Haren;2015;30.8
Harlingen;2015;22.2
Hattem;2015;26.6
Heemskerk;2015;25.8
Heemstede;2015;35.3
Heerde;2015;25.7
Heerenveen;2015;24.1
Heerhugowaard;2015;24.9
Heerlen;2015;21.8
Heeze-Leende;2015;29.2
Heiloo;2015;29.5
Den Helder;2015;23.1
Hellendoorn;2015;24.2
Hellevoetsluis;2015;26.7
Helmond;2015;23.7
Hendrik-Ido-Ambacht;2015;27.5
Hengelo (O.);2015;23.7
's-Hertogenbosch;2015;26.2
Heumen;2015;28.6
Heusden;2015;26.3
Hillegom;2015;26.2
Hilvarenbeek;2015;27.5
Hilversum;2015;27.4
Hof van Twente;2015;26.0
Hollands Kroon;2015;25.0
Hoogeveen;2015;22.5
Hoogezand-Sappemeer;2015;21.8
Hoorn;2015;24.8
Horst aan de Maas;2015;25.7
Houten;2015;29.7
Huizen;2015;28.3
Hulst;2015;25.3
IJsselstein;2015;27.8
Kaag en Braassem;2015;28.0
Kampen;2015;23.3
Kapelle;2015;26.4
Katwijk;2015;25.6
Kerkrade;2015;21.4
Koggenland;2015;26.3
Kollumerland en Nieuwkruisland;2015;22.2
Korendijk;2015;27.4
Krimpen aan den IJssel;2015;26.8
Krimpenerwaard;2015;27.1
Laarbeek;2015;25.6
Landerd;2015;25.8
Landgraaf;2015;23.3
Landsmeer;2015;30.1
Langedijk;2015;26.7
Lansingerland;2015;30.4
Laren (NH.);2015;39.6
Leek;2015;24.0
Leerdam;2015;24.5
Leeuwarden;2015;22.6
Leeuwarderadeel;2015;24.1
Leiden;2015;26.0
Leiderdorp;2015;28.3
Leidschendam-Voorburg;2015;28.3
Lelystad;2015;23.5
Leudal;2015;25.9
Leusden;2015;29.4
Lingewaal;2015;27.1
Lingewaard;2015;25.6
Lisse;2015;26.6
Littenseradiel;2015;25.1
Lochem;2015;27.9
Loon op Zand;2015;25.8
Lopik;2015;27.2
Loppersum;2015;23.6
Losser;2015;24.0
Maasdriel;2015;26.2
Maasgouw;2015;25.9
Maassluis;2015;25.1
Maastricht;2015;23.5
De Marne;2015;22.6
Marum;2015;24.2
Medemblik;2015;25.2
Meerssen;2015;27.1
Meierijstad;2015; 
Menameradiel;2015;24.0
Menterwolde;2015;22.8
Meppel;2015;23.9
Middelburg (Z.);2015;24.9
Midden-Delfland;2015;30.4
Midden-Drenthe;2015;24.7
Mill en Sint Hubert;2015;25.3
Moerdijk;2015;26.1
Molenwaard;2015;27.2
Montferland;2015;24.0
Montfoort;2015;28.7
Mook en Middelaar;2015;29.5
Neder-Betuwe;2015;24.6
Nederweert;2015;25.1
Neerijnen;2015;28.0
Nieuwegein;2015;25.6
Nieuwkoop;2015;28.2
Nijkerk;2015;26.3
Nijmegen;2015;23.8
Nissewaard;2015;25.2
Noord-Beveland;2015;24.6
Noordenveld;2015;25.5
Noordoostpolder;2015;24.2
Noordwijk;2015;28.7
Noordwijkerhout;2015;26.3
Nuenen, Gerwen en Nederwetten;2015;30.0
Nunspeet;2015;25.2
Nuth;2015;25.9
Oegstgeest;2015;34.0
Oirschot;2015;27.6
Oisterwijk;2015;28.4
Oldambt;2015;21.6
Oldebroek;2015;24.1
Oldenzaal;2015;24.7
Olst-Wijhe;2015;25.3
Ommen;2015;25.2
Onderbanken;2015;23.8
Oost Gelre;2015;25.0
Oosterhout;2015;25.9
Ooststellingwerf;2015;22.9
Oostzaan;2015;28.2
Opmeer;2015;25.9
Opsterland;2015;24.2
Oss;2015;25.0
Oud-Beijerland;2015;27.3
Oude IJsselstreek;2015;23.5
Ouder-Amstel;2015;31.5
Oudewater;2015;28.3
Overbetuwe;2015;26.1
Papendrecht;2015;26.4
Peel en Maas;2015;24.9
Pekela;2015;20.8
Pijnacker-Nootdorp;2015;29.3
Purmerend;2015;24.8
Putten;2015;25.9
Raalte;2015;25.1
Reimerswaal;2015;24.5
Renkum;2015;28.4
Renswoude;2015;27.0
Reusel-De Mierden;2015;25.9
Rheden;2015;25.2
Rhenen;2015;26.3
Ridderkerk;2015;25.3
Rijnwaarden;2015;23.0
Rijssen-Holten;2015;24.7
Rijswijk (ZH.);2015;25.5
Roerdalen;2015;25.2
Roermond;2015;23.6
De Ronde Venen;2015;30.6
Roosendaal;2015;24.7
Rotterdam;2015;22.9
Rozendaal;2015;41.6
Rucphen;2015;24.7
Schagen;2015;25.6
Scherpenzeel;2015;25.6
Schiedam;2015;23.1
Schiermonnikoog;2015;23.9
Schinnen;2015;26.0
Schouwen-Duiveland;2015;26.2
Simpelveld;2015;24.1
Sint Anthonis;2015;26.3
Sint-Michielsgestel;2015;28.1
Sittard-Geleen;2015;23.8
Sliedrecht;2015;24.6
Slochteren;2015;25.0
Sluis;2015;24.9
Smallingerland;2015;23.0
Soest;2015;28.6
Someren;2015;25.2
Son en Breugel;2015;29.7
Stadskanaal;2015;21.5
Staphorst;2015;24.5
Stede Broec;2015;24.6
Steenbergen;2015;24.8
Steenwijkerland;2015;23.6
Stein (L.);2015;24.7
Stichtse Vecht;2015;29.4
Strijen;2015;27.2
Súdwest-Fryslân;2015;23.7
Terneuzen;2015;24.5
Terschelling;2015;25.9
Texel;2015;24.3
Teylingen;2015;29.8
Tholen;2015;24.0
Tiel;2015;24.3
Tilburg;2015;23.4
Tubbergen;2015;25.5
Twenterand;2015;22.9
Tynaarlo;2015;27.7
Tytsjerksteradiel;2015;23.9
Uden;2015;25.5
Uitgeest;2015;27.8
Uithoorn;2015;27.5
Urk;2015;24.0
Utrecht (gemeente);2015;26.3
Utrechtse Heuvelrug;2015;30.2
Vaals;2015;22.2
Valkenburg aan de Geul;2015;25.3
Valkenswaard;2015;25.3
Veendam;2015;22.2
Veenendaal;2015;24.8
Veere;2015;26.7
Veldhoven;2015;27.0
Velsen;2015;25.8
Venlo;2015;23.3
Venray;2015;24.7
Vianen;2015;26.5
Vlaardingen;2015;23.6
Vlagtwedde;2015;22.0
Vlieland;2015;24.8
Vlissingen;2015;23.1
Voerendaal;2015;26.8
Voorschoten;2015;30.9
Voorst;2015;26.3
Vught;2015;29.9
Waalre;2015;31.3
Waalwijk;2015;24.9
Waddinxveen;2015;26.7
Wageningen;2015;25.3
Wassenaar;2015;39.3
Waterland;2015;29.6
Weert;2015;24.8
Weesp;2015;26.9
Werkendam;2015;26.5
West Maas en Waal;2015;25.6
Westerveld;2015;25.6
Westervoort;2015;24.3
Westland;2015;26.3
Weststellingwerf;2015;23.0
Westvoorne;2015;31.8
Wierden;2015;26.4
Wijchen;2015;25.8
Wijdemeren;2015;30.1
Wijk bij Duurstede;2015;27.9
Winsum;2015;24.2
Winterswijk;2015;23.5
Woensdrecht;2015;25.5
Woerden;2015;28.4
De Wolden;2015;25.6
Wormerland;2015;26.7
Woudenberg;2015;27.2
Woudrichem;2015;26.8
Zaanstad;2015;24.3
Zaltbommel;2015;26.5
Zandvoort;2015;26.3
Zederik;2015;27.1
Zeewolde;2015;25.6
Zeist;2015;29.5
Zevenaar;2015;24.2
Zoetermeer;2015;26.0
Zoeterwoude;2015;28.8
Zuidhorn;2015;25.3
Zuidplas;2015;28.5
Zundert;2015;25.6
Zutphen;2015;23.6
Zwartewaterland;2015;24.9
Zwijndrecht;2015;25.2
Zwolle;2015;24.9
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 23-11-2018;;
