"","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"'s-Gravenhage",67595,19853,45242,51649,17614,39242,21784,6134,7850,13785,1638,5781,19263
"'s-Hertogenbosch",21683,9241,13810,13484,10198,10218,4724,850,2760,3116,140,1532,2107
"Aa en Hunze",4268,1740,1681,2163,1937,1534,1830,345,612,546,58,246,3
"Aalburg",1327,1362,1229,294,444,165,149,931,154,148,1954,100,7
"Aalsmeer",6764,2392,2351,2100,915,1116,828,798,655,505,129,476,115
"Aalten",3324,4255,1657,1707,2217,1137,793,814,506,311,117,183,107
"Achtkarspelen",2013,4106,2872,903,1948,788,1085,1767,487,282,277,348,5
"Alblasserdam",1907,1467,1728,797,915,618,684,1112,349,245,1955,212,210
"Albrandswaard",4499,1761,2716,1647,1018,861,742,443,563,430,204,473,156
"Alkmaar",15040,5858,7236,9455,5821,8686,4933,1077,2245,3242,139,1344,1281
"Almelo",7503,6518,7520,4049,4595,2734,2389,1378,1265,886,216,688,1855
"Almere",22822,7151,17134,13311,9527,10890,6535,2859,5029,4251,274,2522,3120
"Alphen-Chaam",2051,1425,799,671,614,329,183,44,219,154,13,104,13
"Alphen aan den Rijn",17829,9099,7957,8216,4464,5420,3213,3064,1942,1965,1900,1526,1245
"Ameland",715,613,265,261,174,173,240,54,75,69,8,80,0
"Amersfoort",20255,9192,8611,14970,6766,11847,5408,6585,1988,3373,910,1404,3414
"Amstelveen",13926,4016,4410,8936,2741,5338,3438,1029,1603,1911,191,880,399
"Amsterdam",70249,13562,31260,86410,29326,90572,38279,6833,8904,27553,687,5707,31512
"Apeldoorn",22460,12862,11773,12410,8364,8902,5995,4938,3307,3063,3308,1691,2010
"Appingedam",889,1033,1095,605,1431,559,673,317,270,161,24,98,85
"Arnhem",15398,6093,10622,14765,9036,13047,5784,2180,2087,4658,221,1369,3268
"Assen",6993,4834,4193,5221,5050,4355,3851,3536,1152,1299,332,681,215
"Asten",2942,2201,1320,1026,1304,586,366,51,383,214,17,172,10
"Baarle-Nassau",1044,918,726,313,413,214,126,23,167,117,9,67,8
"Baarn",4438,1764,1529,2394,931,1413,862,586,417,593,192,298,246
"Barendrecht",7715,3570,4699,3008,1784,1848,1331,1235,1061,737,1294,787,621
"Barneveld",6384,6880,3557,1728,1159,973,698,4232,729,402,8136,481,373
"Bedum",854,1446,503,682,885,664,546,828,138,186,97,85,0
"Beek",2040,1824,2138,1232,1213,636,397,65,524,276,12,272,45
"Beemster",2277,723,652,759,308,451,401,44,159,227,19,151,12
"Beesel",1566,1262,1759,804,1019,493,326,40,445,184,13,141,89
"Bellingwedde",821,555,1123,402,1069,411,551,163,223,271,16,119,1
"Berg en Dal",4717,3009,3567,2630,3487,2398,1361,180,746,844,38,309,37
"Bergeijk",3057,2631,1575,0,1386,575,393,93,422,252,33,204,6
"Bergen (L)",1598,1537,1589,589,1699,372,244,38,318,165,11,120,8
"Bergen (NH)",6202,2091,2236,2654,1212,2180,1376,222,630,1203,35,438,15
"Bergen op Zoom",9557,4213,6878,4113,4243,3170,1681,417,1628,989,63,610,1744
"Berkelland",6702,6099,2995,3408,3834,1973,2017,419,782,575,80,382,69
"Bernheze",4835,3845,2237,2077,2901,988,641,108,555,275,21,281,43
"Best",4878,2477,2356,2258,2194,1210,697,403,800,412,39,279,225
"Beuningen",4201,2107,2461,2010,2094,1293,814,146,628,345,23,263,50
"Beverwijk",5187,1834,3773,2634,2323,2232,1383,279,1002,846,39,565,796
"Binnenmaas",4847,2706,2943,1665,1278,929,1147,901,654,567,1169,463,13
"Bladel",3309,2424,1661,1189,1781,677,448,75,554,261,22,217,3
"Blaricum",2733,763,609,917,301,350,336,121,187,214,35,221,47
"Bloemendaal",6038,1511,842,2742,462,1268,799,214,237,638,38,255,16
"Bodegraven-Reeuwijk",5952,3516,2554,2056,878,1243,787,1488,525,386,1772,394,247
"Boekel",1585,1563,862,562,969,256,179,26,170,111,8,89,2
"Borger-Odoorn",3280,2197,2520,1524,2434,1087,1490,652,612,469,124,338,0
"Borne",3420,3576,1639,1839,1506,952,775,233,347,248,33,245,53
"Borsele",2752,2459,1650,1026,1129,665,635,507,491,359,2399,252,4
"Boxtel",4274,2511,2306,2487,2676,1588,930,160,569,463,18,266,194
"Breda",30141,10498,12759,16528,10498,11567,5325,1102,2771,3719,158,1788,2132
"Brielle",3160,1202,1964,1069,953,604,605,151,419,329,50,352,16
"Bronckhorst",6323,5227,2253,2850,2272,1486,1467,512,734,592,225,326,25
"Brummen",3199,1712,1669,1671,1506,1152,1073,246,487,406,57,214,267
"Brunssum",2235,1953,4611,1262,3224,949,739,223,955,577,45,322,88
"Bunnik",2505,1494,798,1700,462,1362,685,328,206,310,161,136,14
"Bunschoten",2040,3342,1775,342,310,258,169,3428,242,98,1015,223,95
"Buren",4801,2077,3020,1567,1096,780,913,465,569,406,886,356,12
"Capelle aan den IJssel",7854,3435,6439,4040,3224,2909,2203,1584,1536,1323,2016,860,502
"Castricum",7082,2815,1997,3616,1715,2686,1732,297,682,987,45,480,28
"Coevorden",5123,3839,3229,2100,2646,1333,1987,582,840,465,174,381,19
"Cranendonck",3211,2329,2300,1193,1629,548,425,89,597,336,18,242,13
"Cromstrijen",2267,1176,1350,755,619,427,468,309,324,222,583,183,2
"Cuijk",3275,2182,1980,1759,3059,1114,631,97,440,372,8,182,475
"Culemborg",3673,1682,2316,2299,1269,2201,1149,504,488,657,175,271,770
"Dalfsen",3620,5958,1462,1574,1258,800,797,1653,461,306,456,235,3
"Dantumadiel",1173,3118,1703,597,1484,551,698,1249,320,202,663,152,3
"De Bilt",7620,2923,2378,4603,1650,3247,1703,999,586,1124,893,393,234
"De Fryske Marren",7265,7443,3636,3164,3055,2205,2333,1037,958,755,360,612,53
"De Marne",864,1105,828,457,902,574,542,521,172,269,81,97,1
"De Ronde Venen",9331,3921,3294,3435,1170,1916,1211,914,811,812,446,612,207
"De Wolden",4452,3024,1527,1592,1200,959,1117,600,572,388,180,286,3
"Delft",10780,4509,6965,12300,4055,8702,3950,1920,1590,2348,324,1032,1142
"Delfzijl",1975,2080,2401,1190,2540,1028,1322,797,723,345,86,235,268
"Den Helder",7297,4026,6459,2921,2783,2144,1877,1083,1793,1086,288,996,97
"Deurne",5185,3884,2891,1812,2764,1081,636,89,770,370,25,310,39
"Deventer",11349,6266,6522,9095,6379,7337,5123,1632,1810,2218,189,780,2279
"Diemen",3112,932,1826,2267,1148,2313,1295,269,591,678,16,297,352
"Dinkelland",4452,6560,1975,1466,1093,594,554,92,374,186,28,205,7
"Doesburg",1354,824,1054,877,1078,629,486,152,237,248,21,103,271
"Doetinchem",7576,4976,4485,4517,4459,2881,2291,815,1018,869,356,464,508
"Dongen",4114,2165,2135,1845,1935,1101,791,212,548,355,54,237,326
"Dongeradeel",1909,4556,1702,1019,1589,901,827,1190,396,382,213,289,3
"Dordrecht",12694,6402,10893,7101,6478,6342,3925,3237,2221,2715,2121,1172,3123
"Drechterland",3929,1833,1510,1497,878,812,650,139,447,352,27,321,3
"Drimmelen",4836,2327,2897,1770,1966,1040,720,145,689,448,47,296,15
"Dronten",6477,4515,2957,2243,1851,1617,1044,1754,793,569,383,523,282
"Druten",3024,1525,1674,1442,1565,777,582,69,445,249,20,200,208
