"","Totale stemmen","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Aa en Hunze",16963,0.251606437540529,0.102576195248482,0.0990980369038496,0.127512822024406,0.114189707009373,0.0904321169604433,0.107881860519955,0.0203383835406473,0.0360785238460178,0.0321877026469375,0.00341920650828273,0.0145021517420268,0.000176855509049107
"Aalburg",8264,0.160575992255566,0.164811229428848,0.148717328170378,0.0355759922555663,0.0537270087124879,0.0199661181026137,0.0180300096805421,0.112657308809293,0.0186350435624395,0.0179090029041626,0.236447241045499,0.0121006776379477,0.000847047434656341
"Aalsmeer",19144,0.353322189720017,0.124947764312578,0.122806101128291,0.109694943585458,0.0477956539908065,0.0582950271625575,0.0432511491851233,0.0416840785624739,0.0342143752611784,0.0263790221479315,0.00673840367739239,0.0248641872127037,0.00600710405348934
"Aalten",17128,0.194068192433442,0.248423633815974,0.0967421765530126,0.0996613731900981,0.12943717888837,0.0663825315273237,0.0462984586641756,0.0475245212517515,0.029542269967305,0.0181574030826716,0.00683092013078001,0.0106842596917328,0.00624708080336291
"Achtkarspelen",16881,0.11924649013684,0.243232036016824,0.17013210117884,0.0534920917007286,0.115396007345536,0.0466796990699603,0.0642734435163794,0.104673893726675,0.0288490018363841,0.0167051714945797,0.0164089805106333,0.0206148924826728,0.000296190983946449
"Alblasserdam",12199,0.156324288876137,0.120255758668743,0.141650954996311,0.0653332240347569,0.0750061480449217,0.0506598901549307,0.0560701696860398,0.0911550127059595,0.0286089023690466,0.0200836134109353,0.160259037626035,0.0173784736453808,0.0172145257808017
"Albrandswaard",15513,0.290014826274737,0.113517694836589,0.175078966028492,0.106169019532005,0.0656223812286469,0.0555018371688261,0.0478308515438664,0.0285566943853542,0.0362921420743892,0.0277186875523754,0.0131502610713595,0.030490556307613,0.0100560819957455
"Alkmaar",66357,0.226652802266528,0.0882800608828006,0.109046521090465,0.142486851424869,0.0877224708772247,0.13089802130898,0.0743403107434031,0.0162303901623039,0.0338321503383215,0.0488569404885694,0.0020947300209473,0.0202540802025408,0.0193046701930467
"Almelo",41596,0.180377920953938,0.156697759399942,0.180786614097509,0.0973410904894701,0.110467352630061,0.0657274737955573,0.057433407058371,0.0331281854024425,0.0304115780363497,0.0213001250120204,0.00519280700067314,0.01654005192807,0.0445956341955957
"Almere",105425,0.216476167891866,0.0678302110505098,0.162523120701921,0.126260374673939,0.0903675598766896,0.103296182119991,0.0619871946881669,0.0271188048375622,0.0477021579321793,0.0403225041498696,0.00259900403130187,0.0239222195873844,0.0295944984586199
