"Muni","CDA_frac","Urban_index","High_educated_frac","Mean_income","Non_west_frac","CDA_abs","Total_abs","Non_west"
"Aa en Hunze",0.103,0.166,0.27,26.2,0.02,1740,16963,"1"
"Aalburg",0.165,0.343,0.24,26,0.02,1362,8264,"1"
"Aalsmeer",0.125,1.32,0.23,29,0.08,2392,19144,"2"
"Aalten",0.248,1.088,0.19,23.8,0.04,4255,17128,"1"
"Achtkarspelen",0.243,0.403,0.12,21.5,0.02,4106,16881,"1"
"Alblasserdam",0.12,2.369,0.18,25.2,0.07,1467,12199,"2"
"Albrandswaard",0.114,1.531,0.27,30.2,0.12,1761,15513,"3"
"Alkmaar",0.088,2.896,0.3,24.8,0.13,5858,66357,"3"
"Almelo",0.157,2.313,0.22,22.5,0.15,6518,41596,"3"
"Almere",0.068,2.385,0.29,24.8,0.3,7151,105425,"3"
"Alphen-Chaam",0.215,0,0.28,27.8,0.02,1425,6619,"1"
"Alphen aan den Rijn",0.134,2.439,0.27,26.7,0.1,9099,67840,"3"
"Ameland",0.225,0,0.28,22.7,0.02,613,2727,"1"
"Amersfoort",0.097,2.991,0.41,26.9,0.15,9192,94723,"3"
"Amstelveen",0.082,3.29,0.43,29.7,0.22,4016,48818,"3"
"Amsterdam",0.031,3.789,0.47,25.3,0.35,13562,440854,"3"
"Apeldoorn",0.127,2.504,0.27,25.4,0.09,12862,101083,"2"
"Appingedam",0.143,1.431,0.22,22.3,0.06,1033,7240,"2"
"Arnhem",0.069,2.81,0.37,23.2,0.2,6093,88528,"3"
"Assen",0.116,2.074,0.28,23.7,0.07,4834,41712,"2"
"Asten",0.208,1.323,0.25,25.6,0.03,2201,10592,"1"
"Baarle-Nassau",0.221,0.494,0.26,25.1,0.02,918,4145,"1"
"Baarn",0.113,2.376,0.34,29.2,0.08,1764,15663,"2"
"Barendrecht",0.12,2.602,0.37,29.4,0.15,3570,29690,"3"
"Barneveld",0.193,1.311,0.26,25.8,0.04,6880,35732,"1"
"Bedum",0.209,0.854,0.32,24.3,0.03,1446,6914,"1"
"Beemster",0.117,0.874,0.32,29.4,0.04,723,6183,"1"
"Beesel",0.155,0.967,0.16,24,0.05,1262,8141,"2"
"Bellingwedde",0.097,0,0.23,22.6,0.03,555,5725,"1"
"Bergeijk",0.248,0.586,0.25,26.6,0.02,2631,10627,"1"
"Bergen op Zoom",0.107,2.471,0.28,25,0.14,4213,39306,"3"
"Berkelland",0.208,0.903,0.25,24.4,0.03,6099,29335,"1"
"Bernheze",0.204,0.852,0.28,26.7,0.03,3845,18807,"1"
"Best",0.136,1.96,0.31,27.6,0.07,2477,18228,"2"
"Beuningen",0.128,1.449,0.29,26.3,0.05,2107,16435,"2"
"Beverwijk",0.08,3.462,0.23,24.1,0.14,1834,22893,"3"
"Binnenmaas",0.14,0.807,0.25,28.5,0.04,2706,19282,"1"
"Bladel",0.192,1.041,0.21,26,0.03,2424,12621,"1"
"Blaricum",0.112,1.491,0.34,39,0.07,763,6834,"2"
"Bloemendaal",0.1,1.499,0.4,41.8,0.05,1511,15060,"2"
"Bodegraven-Reeuwijk",0.161,1.669,0.3,29.4,0.06,3516,21798,"2"
"Boekel",0.245,0.627,0.21,25.4,0.02,1563,6382,"1"
"Borger-Odoorn",0.131,0.189,0.24,23.9,0.02,2197,16727,"1"
"Borne",0.241,1.785,0.31,26,0.05,3576,14866,"2"
"Borsele",0.172,0.311,0.27,25.7,0.03,2459,14328,"1"
"Boxtel",0.136,1.859,0.25,25.6,0.08,2511,18442,"2"
"Breda",0.096,2.774,0.36,26.4,0.12,10498,108986,"3"
"Brielle",0.111,1.243,0.3,28.3,0.05,1202,10874,"2"
"Bronckhorst",0.215,0.401,0.21,25.9,0.02,5227,24292,"1"
"Brummen",0.125,1.157,0.29,25.9,0.06,1712,13659,"2"
"Brunssum",0.114,2.602,0.21,22.1,0.05,1953,17183,"2"
"Bunnik",0.147,0.761,0.42,30.9,0.05,1494,10161,"2"
"Bunschoten",0.251,1.862,0.24,26.1,0.05,3342,13337,"2"
"Buren",0.123,0.067,0.28,27.4,0.02,2077,16948,"1"
"Capelle aan den IJssel",0.091,3.2,0.28,25.5,0.23,3435,37925,"3"
"Castricum",0.117,1.87,0.35,29.5,0.04,2815,24162,"1"
"Coevorden",0.169,0.532,0.21,24,0.03,3839,22718,"1"
"Cranendonck",0.18,0.719,0.24,25.8,0.04,2329,12930,"1"
"Cromstrijen",0.135,0.944,0.3,28.3,0.03,1176,8685,"1"
"Cuijk",0.14,1.091,0.22,24.5,0.1,2182,15574,"3"
"Culemborg",0.096,2.269,0.31,25.8,0.14,1682,17454,"3"
"Dalfsen",0.321,0.654,0.27,25.5,0.02,5958,18583,"1"
"Dantumadiel",0.262,0.424,0.22,21.9,0.02,3118,11913,"1"
"De Bilt",0.103,1.852,0.44,31.9,0.08,2923,28353,"2"
"De Marne",0.172,0,0.21,22.6,0.02,1105,6413,"1"
"De Ronde Venen",0.14,1.322,0.27,30.6,0.07,3921,28080,"2"
"De Wolden",0.19,0.173,0.23,25.6,0.02,3024,15900,"1"
"Delft",0.076,3.649,0.43,24.5,0.2,4509,59617,"3"
"Delfzijl",0.139,0.879,0.14,22.4,0.1,2080,14990,"3"
"Den Helder",0.123,2.597,0.19,23.1,0.1,4026,32850,"3"
"Deurne",0.196,1.173,0.26,24.9,0.03,3884,19856,"1"
"Deventer",0.103,2.41,0.34,24.1,0.13,6266,60979,"3"
"Diemen",0.062,3.307,0.35,26.2,0.28,932,15096,"3"
"Dinkelland",0.373,0.531,0.26,26,0.02,6560,17586,"1"
"Doesburg",0.112,1.135,0.23,23.3,0.1,824,7334,"3"
"Doetinchem",0.141,1.627,0.26,24.3,0.07,4976,35215,"2"
"Dongen",0.137,1.784,0.19,25.6,0.06,2165,15818,"2"
"Dongeradeel",0.304,0.7,0.19,22.1,0.02,4556,14976,"1"
"Dordrecht",0.094,3.23,0.28,24.2,0.18,6402,68424,"3"
"Drechterland",0.148,0.446,0.23,26.4,0.03,1833,12398,"1"
"Drimmelen",0.135,0.968,0.23,26.8,0.03,2327,17196,"1"
"Dronten",0.181,1.11,0.25,25.3,0.08,4515,25008,"2"
"Druten",0.129,1.072,0.3,25.1,0.06,1525,11780,"2"
"Duiven",0.143,1.73,0.32,25.5,0.05,2345,16399,"2"
"Echt-Susteren",0.199,0.887,0.28,24.9,0.04,3994,20115,"1"
"Edam-Volendam",0.222,2.001,0.19,27.6,0.04,5251,23662,"1"
"Ede",0.149,2.113,0.31,25.7,0.08,10686,71551,"2"
"Eemnes",0.134,1.386,0.24,29,0.05,804,5986,"2"
"Eemsmond",0.171,0.247,0.19,22.1,0.03,1731,10111,"1"
"Eersel",0.205,0.662,0.31,28.2,0.03,2454,11986,"1"
"Eijsden-Margraten",0.209,0.438,0.34,27.3,0.02,3491,16700,"1"
"Eindhoven",0.086,3.22,0.35,24.6,0.19,10882,125866,"3"
"Elburg",0.196,0.881,0.23,24.4,0.03,2865,14640,"1"
"Emmen",0.144,1.091,0.18,22.3,0.05,9455,65810,"2"
"Enkhuizen",0.102,2.32,0.27,24.1,0.07,1158,11351,"2"
"Enschede",0.123,2.768,0.27,22.2,0.16,11163,90902,"3"
"Epe",0.155,0.977,0.2,26,0.05,3280,21154,"2"
"Ermelo",0.206,1.478,0.33,26.9,0.04,3574,17328,"1"
"Etten-Leur",0.138,2.435,0.27,25.8,0.09,3541,25724,"2"
"Ferwerderadiel",0.281,0,0.19,22.8,0.03,1491,5309,"1"
"Franekeradeel",0.218,0.867,0.23,22.4,0.03,2758,12657,"1"
"Geertruidenberg",0.128,1.781,0.2,25.4,0.03,1695,13290,"1"
"Geldermalsen",0.134,0.739,0.27,27.7,0.04,2308,17190,"1"
"Geldrop-Mierlo",0.139,2.07,0.3,25.9,0.08,3377,24222,"2"
"Gemert-Bakel",0.199,1.183,0.2,24.9,0.03,3691,18515,"1"
"Gennep",0.142,0.81,0.27,24.6,0.04,1520,10701,"1"
"Giessenlanden",0.177,0.099,0.27,28.7,0.02,1738,9813,"1"
"Gilze en Rijen",0.14,1.738,0.29,25.4,0.09,2256,16143,"2"
"Goeree-Overflakkee",0.129,0.887,0.23,26.2,0.02,4105,31701,"1"
"Goes",0.147,1.769,0.29,25.4,0.07,3434,23298,"2"
"Goirle",0.134,1.794,0.32,27,0.04,2018,15055,"1"
"Gorinchem",0.1,2.543,0.27,25,0.16,2135,21304,"3"
"Gouda",0.101,3.256,0.33,25.4,0.16,4400,43572,"3"
"Grave",0.151,0.778,0.25,25.3,0.05,1189,7856,"2"
"Grootegast",0.275,0,0.19,22.9,0.01,2052,7461,"1"
"Gulpen-Wittem",0.19,0.207,0.31,25.6,0.02,1865,9825,"1"
"Haaksbergen",0.246,1.45,0.21,24.8,0.05,3916,15888,"2"
"Haaren",0.198,0.291,0.27,29,0.02,1754,8845,"1"
"Haarlem",0.062,3.735,0.42,26.1,0.15,5853,94772,"3"
"Haarlemmerliede en Spaarnwoude",0.115,0.647,0.21,28.6,0.06,421,3671,"2"
"Haarlemmermeer",0.105,2.435,0.29,28,0.15,9182,87278,"3"
"Halderberge",0.139,0.981,0.25,25.7,0.08,2496,18012,"2"
"Hardenberg",0.26,0.615,0.16,23.6,0.03,9959,38344,"1"
"Harderwijk",0.171,2.276,0.24,25.1,0.11,4908,28647,"3"
"Hardinxveld-Giessendam",0.151,1.391,0.23,25.7,0.03,1741,11508,"1"
"Haren",0.116,1.303,0.46,30.8,0.05,1526,13161,"2"
"Harlingen",0.14,1.523,0.25,22.2,0.04,1360,9701,"1"
"Hattem",0.189,1.208,0.31,26.6,0.03,1526,8058,"1"
"Heemskerk",0.108,3.111,0.23,25.8,0.1,2663,24562,"3"
"Heemstede",0.102,2.475,0.47,35.3,0.06,1812,17800,"2"
"Heerde",0.214,0.786,0.27,25.7,0.03,2620,12215,"1"
"Heerenveen",0.138,1.325,0.23,24.1,0.06,4318,31367,"2"
"Heerhugowaard",0.111,2.488,0.21,24.9,0.12,3563,32063,"3"
"Heerlen",0.097,2.694,0.22,21.8,0.09,4822,49473,"2"
"Heeze-Leende",0.177,0.617,0.28,29.2,0.03,1829,10307,"1"
"Heiloo",0.113,1.979,0.36,29.5,0.04,1771,15669,"1"
"Hellendoorn",0.306,1.137,0.18,24.2,0.03,7287,23785,"1"
"Hellevoetsluis",0.091,2.406,0.22,26.7,0.09,2118,23388,"2"
"Helmond",0.107,2.41,0.23,23.7,0.13,5272,49052,"3"
"Hendrik-Ido-Ambacht",0.125,2.772,0.24,27.5,0.07,2333,18643,"2"
"het Bildt",0.22,0.169,0.19,21.9,0.04,1386,6313,"1"
"Heumen",0.15,1.029,0.33,28.6,0.04,1659,11051,"1"
"Heusden",0.146,1.565,0.31,26.3,0.06,4010,27381,"2"
"Hillegom",0.124,2.331,0.24,26.2,0.06,1641,13259,"2"
"Hilvarenbeek",0.206,0.675,0.29,27.5,0.02,2093,10153,"1"
"Hilversum",0.083,3.289,0.39,27.4,0.13,4345,52415,"3"
"Hof van Twente",0.249,0.78,0.28,26,0.03,5851,23543,"1"
"Hollands Kroon",0.132,0.431,0.19,25,0.03,3887,29465,"1"
"Hoogeveen",0.205,1.559,0.19,22.5,0.05,6958,33900,"2"
"Hoogezand-Sappemeer",0.089,1.911,0.2,21.8,0.12,1788,20017,"3"
"Hoorn",0.09,2.463,0.25,24.8,0.14,3827,42711,"3"
"Horst aan de Maas",0.225,0.731,0.24,25.7,0.03,5886,26162,"1"
"Houten",0.122,2.206,0.41,29.7,0.08,3810,31220,"2"
"Huizen",0.13,2.841,0.33,28.3,0.1,3483,26697,"3"
"Hulst",0.155,0.477,0.21,25.3,0.03,2381,15355,"1"
"IJsselstein",0.125,2.702,0.3,27.8,0.13,2634,21070,"3"
"Kaag en Braassem",0.156,0.776,0.23,28,0.04,2722,17464,"1"
"Kampen",0.195,1.908,0.23,23.3,0.05,6505,33329,"2"
"Kapelle",0.157,0.874,0.26,26.4,0.03,1294,8248,"1"
"Katwijk",0.205,3.025,0.2,25.6,0.05,8263,40316,"2"
"Kerkrade",0.111,2.557,0.2,21.4,0.06,2775,25035,"2"
"Koggenland",0.154,0.483,0.26,26.3,0.03,2233,14506,"1"
"Kollumerland en Nieuwkruisland",0.285,0.36,0.16,22.2,0.02,2251,7888,"1"
"Korendijk",0.127,0.047,0.24,27.4,0.02,922,7265,"1"
"Krimpen aan den IJssel",0.107,2.84,0.24,26.8,0.08,2009,18753,"2"
"Krimpenerwaard",0.133,1.074,0.25,27.1,0.05,4830,36306,"2"
"Laarbeek",0.174,0.743,0.25,25.6,0.02,2400,13774,"1"
"Landerd",0.191,0.546,0.28,25.8,0.03,1916,10037,"1"
"Landgraaf",0.119,2.395,0.25,23.3,0.04,2730,23003,"1"
"Landsmeer",0.074,1.498,0.36,30.1,0.08,546,7348,"2"
"Langedijk",0.12,1.334,0.3,26.7,0.05,2141,17769,"2"
"Lansingerland",0.136,2.049,0.36,30.4,0.1,5027,37018,"3"
"Leek",0.159,0.94,0.26,24,0.03,1969,12380,"1"
"Leerdam",0.131,1.868,0.25,24.5,0.14,1666,12702,"3"
"Leeuwarden",0.108,2.652,0.3,22.6,0.1,7294,67334,"3"
"Leeuwarderadeel",0.196,0.675,0.25,24.1,0.04,1317,6727,"1"
"Leiden",0.063,3.738,0.45,26,0.16,4818,76572,"3"
"Leiderdorp",0.114,3.211,0.32,28.3,0.11,2001,17510,"3"
"Leidschendam-Voorburg",0.117,3.437,0.39,28.3,0.16,5351,45733,"3"
"Lelystad",0.09,2.068,0.23,23.5,0.2,3825,42436,"3"
"Leudal",0.18,0.275,0.24,25.9,0.03,4045,22457,"1"
"Leusden",0.149,1.81,0.34,29.4,0.05,2968,19919,"2"
"Lingewaal",0.171,0.135,0.24,27.1,0.04,1241,7247,"1"
"Lingewaard",0.142,1.341,0.27,25.6,0.03,4261,29955,"1"
"Lisse",0.145,2.3,0.22,26.6,0.05,2167,14996,"2"
"Littenseradiel",0.255,0,0.25,25.1,0.02,1795,7035,"1"
"Lochem",0.159,0.79,0.35,27.9,0.04,3651,22905,"1"
"Loon op Zand",0.145,1.535,0.22,25.8,0.04,2094,14404,"1"
"Lopik",0.194,0.376,0.17,27.2,0.04,1761,9088,"1"
"Loppersum",0.201,0,0.24,23.6,0.02,1303,6492,"1"
"Losser",0.259,0.912,0.24,24,0.03,3696,14262,"1"
