"Muni","GL_frac","Urban_index","High_educated_frac","Mean_income","GL_abs","Total_abs"
"'s-Hertogenbosch",0.109,2.423,0.37,26.2,10218,93863
"Aa en Hunze",0.09,0.166,0.27,26.2,1534,16963
"Aalburg",0.02,0.343,0.24,26,165,8264
"Aalsmeer",0.058,1.32,0.23,29,1116,19144
"Aalten",0.066,1.088,0.19,23.8,1137,17128
"Achtkarspelen",0.047,0.403,0.12,21.5,788,16881
"Alblasserdam",0.051,2.369,0.18,25.2,618,12199
"Albrandswaard",0.056,1.531,0.27,30.2,861,15513
"Alkmaar",0.131,2.896,0.3,24.8,8686,66357
"Almelo",0.066,2.313,0.22,22.5,2734,41596
"Almere",0.103,2.385,0.29,24.8,10890,105425
"Alphen-Chaam",0.05,0,0.28,27.8,329,6619
"Alphen aan den Rijn",0.08,2.439,0.27,26.7,5420,67840
"Ameland",0.063,0,0.28,22.7,173,2727
"Amersfoort",0.125,2.991,0.41,26.9,11847,94723
"Amstelveen",0.109,3.29,0.43,29.7,5338,48818
"Amsterdam",0.205,3.789,0.47,25.3,90572,440854
"Apeldoorn",0.088,2.504,0.27,25.4,8902,101083
"Appingedam",0.077,1.431,0.22,22.3,559,7240
"Arnhem",0.147,2.81,0.37,23.2,13047,88528
"Assen",0.104,2.074,0.28,23.7,4355,41712
"Asten",0.055,1.323,0.25,25.6,586,10592
"Baarle-Nassau",0.052,0.494,0.26,25.1,214,4145
"Baarn",0.09,2.376,0.34,29.2,1413,15663
"Barendrecht",0.062,2.602,0.37,29.4,1848,29690
"Barneveld",0.027,1.311,0.26,25.8,973,35732
"Bedum",0.096,0.854,0.32,24.3,664,6914
"Beemster",0.073,0.874,0.32,29.4,451,6183
"Beesel",0.061,0.967,0.16,24,493,8141
"Bellingwedde",0.072,0,0.23,22.6,411,5725
"Berg en Dal",0.103,0.769,0.26,NA,2398,23323
"Bergeijk",0.054,0.586,0.25,26.6,575,10627
"Bergen op Zoom",0.081,2.471,0.28,25,3170,39306
"Berkelland",0.067,0.903,0.25,24.4,1973,29335
"Bernheze",0.053,0.852,0.28,26.7,988,18807
"Best",0.066,1.96,0.31,27.6,1210,18228
"Beuningen",0.079,1.449,0.29,26.3,1293,16435
"Beverwijk",0.097,3.462,0.23,24.1,2232,22893
"Binnenmaas",0.048,0.807,0.25,28.5,929,19282
"Bladel",0.054,1.041,0.21,26,677,12621
"Blaricum",0.051,1.491,0.34,39,350,6834
"Bloemendaal",0.084,1.499,0.4,41.8,1268,15060
"Bodegraven-Reeuwijk",0.057,1.669,0.3,29.4,1243,21798
"Boekel",0.04,0.627,0.21,25.4,256,6382
"Borger-Odoorn",0.065,0.189,0.24,23.9,1087,16727
"Borne",0.064,1.785,0.31,26,952,14866
"Borsele",0.046,0.311,0.27,25.7,665,14328
"Boxtel",0.086,1.859,0.25,25.6,1588,18442
"Breda",0.106,2.774,0.36,26.4,11567,108986
"Brielle",0.056,1.243,0.3,28.3,604,10874
"Bronckhorst",0.061,0.401,0.21,25.9,1486,24292
"Brummen",0.084,1.157,0.29,25.9,1152,13659
"Brunssum",0.055,2.602,0.21,22.1,949,17183
"Bunnik",0.134,0.761,0.42,30.9,1362,10161
"Bunschoten",0.019,1.862,0.24,26.1,258,13337
"Buren",0.046,0.067,0.28,27.4,780,16948
"Capelle aan den IJssel",0.077,3.2,0.28,25.5,2909,37925
"Castricum",0.111,1.87,0.35,29.5,2686,24162
"Coevorden",0.059,0.532,0.21,24,1333,22718
"Cranendonck",0.042,0.719,0.24,25.8,548,12930
"Cromstrijen",0.049,0.944,0.3,28.3,427,8685
"Cuijk",0.072,1.091,0.22,24.5,1114,15574
"Culemborg",0.126,2.269,0.31,25.8,2201,17454
"Dalfsen",0.043,0.654,0.27,25.5,800,18583
"Dantumadiel",0.046,0.424,0.22,21.9,551,11913
"De Bilt",0.115,1.852,0.44,31.9,3247,28353
"De Fryske Marren",0.067,0.698,0.23,NA,2205,32876
"De Marne",0.09,0,0.21,22.6,574,6413
"De Ronde Venen",0.068,1.322,0.27,30.6,1916,28080
"De Wolden",0.06,0.173,0.23,25.6,959,15900
"Delft",0.146,3.649,0.43,24.5,8702,59617
"Delfzijl",0.069,0.879,0.14,22.4,1028,14990
"Den Helder",0.065,2.597,0.19,23.1,2144,32850
"Deurne",0.054,1.173,0.26,24.9,1081,19856
"Deventer",0.12,2.41,0.34,24.1,7337,60979
"Diemen",0.153,3.307,0.35,26.2,2313,15096
"Dinkelland",0.034,0.531,0.26,26,594,17586
"Doesburg",0.086,1.135,0.23,23.3,629,7334
"Doetinchem",0.082,1.627,0.26,24.3,2881,35215
"Dongen",0.07,1.784,0.19,25.6,1101,15818
"Dongeradeel",0.06,0.7,0.19,22.1,901,14976
"Dordrecht",0.093,3.23,0.28,24.2,6342,68424
"Drechterland",0.065,0.446,0.23,26.4,812,12398
"Drimmelen",0.06,0.968,0.23,26.8,1040,17196
"Dronten",0.065,1.11,0.25,25.3,1617,25008
"Druten",0.066,1.072,0.3,25.1,777,11780
"Duiven",0.079,1.73,0.32,25.5,1298,16399
"Echt-Susteren",0.053,0.887,0.28,24.9,1064,20115
"Edam-Volendam",0.052,2.001,0.19,27.6,1219,23662
"Ede",0.064,2.113,0.31,25.7,4585,71551
"Eemnes",0.062,1.386,0.24,29,374,5986
"Eemsmond",0.075,0.247,0.19,22.1,763,10111
"Eersel",0.055,0.662,0.31,28.2,661,11986
"Eijsden-Margraten",0.07,0.438,0.34,27.3,1176,16700
"Eindhoven",0.121,3.22,0.35,24.6,15240,125866
"Elburg",0.03,0.881,0.23,24.4,437,14640
"Emmen",0.065,1.091,0.18,22.3,4304,65810
"Enkhuizen",0.09,2.32,0.27,24.1,1027,11351
"Enschede",0.094,2.768,0.27,22.2,8574,90902
"Epe",0.055,0.977,0.2,26,1171,21154
"Ermelo",0.056,1.478,0.33,26.9,978,17328
"Etten-Leur",0.074,2.435,0.27,25.8,1909,25724
"Ferwerderadiel",0.062,0,0.19,22.8,328,5309
"Franekeradeel",0.083,0.867,0.23,22.4,1045,12657
"Geertruidenberg",0.06,1.781,0.2,25.4,801,13290
"Geldermalsen",0.053,0.739,0.27,27.7,917,17190
"Geldrop-Mierlo",0.081,2.07,0.3,25.9,1961,24222
"Gemert-Bakel",0.058,1.183,0.2,24.9,1067,18515
"Gennep",0.065,0.81,0.27,24.6,693,10701
"Giessenlanden",0.04,0.099,0.27,28.7,393,9813
"Gilze en Rijen",0.072,1.738,0.29,25.4,1161,16143
"Goeree-Overflakkee",0.035,0.887,0.23,26.2,1098,31701
"Goes",0.08,1.769,0.29,25.4,1866,23298
"Goirle",0.085,1.794,0.32,27,1275,15055
"Gooise Meren",0.09,2.57,0.39,NA,3221,35648
"Gorinchem",0.082,2.543,0.27,25,1741,21304
"Gouda",0.107,3.256,0.33,25.4,4660,43572
"Grave",0.067,0.778,0.25,25.3,527,7856
"Grootegast",0.055,0,0.19,22.9,413,7461
"Gulpen-Wittem",0.087,0.207,0.31,25.6,856,9825
"Haaksbergen",0.05,1.45,0.21,24.8,796,15888
"Haaren",0.07,0.291,0.27,29,622,8845
