"Muni","CDA_frac","GL_frac","Urban_index","High_educated_frac","Mean_income","CDA_abs","GL_abs","Total_abs"
"'s-Hertogenbosch",0.098,0.109,2.423,0.37,26.2,9241,10218,93863
"Aa en Hunze",0.103,0.09,0.166,0.27,26.2,1740,1534,16963
"Aalburg",0.165,0.02,0.343,0.24,26,1362,165,8264
"Aalsmeer",0.125,0.058,1.32,0.23,29,2392,1116,19144
"Aalten",0.248,0.066,1.088,0.19,23.8,4255,1137,17128
"Achtkarspelen",0.243,0.047,0.403,0.12,21.5,4106,788,16881
"Alblasserdam",0.12,0.051,2.369,0.18,25.2,1467,618,12199
"Albrandswaard",0.114,0.056,1.531,0.27,30.2,1761,861,15513
"Alkmaar",0.088,0.131,2.896,0.3,24.8,5858,8686,66357
"Almelo",0.157,0.066,2.313,0.22,22.5,6518,2734,41596
"Almere",0.068,0.103,2.385,0.29,24.8,7151,10890,105425
"Alphen-Chaam",0.215,0.05,0,0.28,27.8,1425,329,6619
"Alphen aan den Rijn",0.134,0.08,2.439,0.27,26.7,9099,5420,67840
"Ameland",0.225,0.063,0,0.28,22.7,613,173,2727
"Amersfoort",0.097,0.125,2.991,0.41,26.9,9192,11847,94723
"Amstelveen",0.082,0.109,3.29,0.43,29.7,4016,5338,48818
"Amsterdam",0.031,0.205,3.789,0.47,25.3,13562,90572,440854
"Apeldoorn",0.127,0.088,2.504,0.27,25.4,12862,8902,101083
"Appingedam",0.143,0.077,1.431,0.22,22.3,1033,559,7240
"Arnhem",0.069,0.147,2.81,0.37,23.2,6093,13047,88528
"Assen",0.116,0.104,2.074,0.28,23.7,4834,4355,41712
"Asten",0.208,0.055,1.323,0.25,25.6,2201,586,10592
"Baarle-Nassau",0.221,0.052,0.494,0.26,25.1,918,214,4145
"Baarn",0.113,0.09,2.376,0.34,29.2,1764,1413,15663
"Barendrecht",0.12,0.062,2.602,0.37,29.4,3570,1848,29690
"Barneveld",0.193,0.027,1.311,0.26,25.8,6880,973,35732
"Bedum",0.209,0.096,0.854,0.32,24.3,1446,664,6914
"Beemster",0.117,0.073,0.874,0.32,29.4,723,451,6183
"Beesel",0.155,0.061,0.967,0.16,24,1262,493,8141
"Bellingwedde",0.097,0.072,0,0.23,22.6,555,411,5725
"Berg en Dal",0.129,0.103,0.769,0.26,NA,3009,2398,23323
"Bergeijk",0.248,0.054,0.586,0.25,26.6,2631,575,10627
"Bergen op Zoom",0.107,0.081,2.471,0.28,25,4213,3170,39306
"Berkelland",0.208,0.067,0.903,0.25,24.4,6099,1973,29335
"Bernheze",0.204,0.053,0.852,0.28,26.7,3845,988,18807
"Best",0.136,0.066,1.96,0.31,27.6,2477,1210,18228
"Beuningen",0.128,0.079,1.449,0.29,26.3,2107,1293,16435
"Beverwijk",0.08,0.097,3.462,0.23,24.1,1834,2232,22893
"Binnenmaas",0.14,0.048,0.807,0.25,28.5,2706,929,19282
"Bladel",0.192,0.054,1.041,0.21,26,2424,677,12621
"Blaricum",0.112,0.051,1.491,0.34,39,763,350,6834
"Bloemendaal",0.1,0.084,1.499,0.4,41.8,1511,1268,15060
"Bodegraven-Reeuwijk",0.161,0.057,1.669,0.3,29.4,3516,1243,21798
"Boekel",0.245,0.04,0.627,0.21,25.4,1563,256,6382
"Borger-Odoorn",0.131,0.065,0.189,0.24,23.9,2197,1087,16727
"Borne",0.241,0.064,1.785,0.31,26,3576,952,14866
"Borsele",0.172,0.046,0.311,0.27,25.7,2459,665,14328
"Boxtel",0.136,0.086,1.859,0.25,25.6,2511,1588,18442
"Breda",0.096,0.106,2.774,0.36,26.4,10498,11567,108986
"Brielle",0.111,0.056,1.243,0.3,28.3,1202,604,10874
"Bronckhorst",0.215,0.061,0.401,0.21,25.9,5227,1486,24292
"Brummen",0.125,0.084,1.157,0.29,25.9,1712,1152,13659
"Brunssum",0.114,0.055,2.602,0.21,22.1,1953,949,17183
"Bunnik",0.147,0.134,0.761,0.42,30.9,1494,1362,10161
"Bunschoten",0.251,0.019,1.862,0.24,26.1,3342,258,13337
"Buren",0.123,0.046,0.067,0.28,27.4,2077,780,16948
"Capelle aan den IJssel",0.091,0.077,3.2,0.28,25.5,3435,2909,37925
"Castricum",0.117,0.111,1.87,0.35,29.5,2815,2686,24162
"Coevorden",0.169,0.059,0.532,0.21,24,3839,1333,22718
"Cranendonck",0.18,0.042,0.719,0.24,25.8,2329,548,12930
"Cromstrijen",0.135,0.049,0.944,0.3,28.3,1176,427,8685
"Cuijk",0.14,0.072,1.091,0.22,24.5,2182,1114,15574
"Culemborg",0.096,0.126,2.269,0.31,25.8,1682,2201,17454
"Dalfsen",0.321,0.043,0.654,0.27,25.5,5958,800,18583
"Dantumadiel",0.262,0.046,0.424,0.22,21.9,3118,551,11913
"De Bilt",0.103,0.115,1.852,0.44,31.9,2923,3247,28353
"De Fryske Marren",0.226,0.067,0.698,0.23,NA,7443,2205,32876
"De Marne",0.172,0.09,0,0.21,22.6,1105,574,6413
"De Ronde Venen",0.14,0.068,1.322,0.27,30.6,3921,1916,28080
"De Wolden",0.19,0.06,0.173,0.23,25.6,3024,959,15900
"Delft",0.076,0.146,3.649,0.43,24.5,4509,8702,59617
"Delfzijl",0.139,0.069,0.879,0.14,22.4,2080,1028,14990
"Den Helder",0.123,0.065,2.597,0.19,23.1,4026,2144,32850
"Deurne",0.196,0.054,1.173,0.26,24.9,3884,1081,19856
"Deventer",0.103,0.12,2.41,0.34,24.1,6266,7337,60979
"Diemen",0.062,0.153,3.307,0.35,26.2,932,2313,15096
"Dinkelland",0.373,0.034,0.531,0.26,26,6560,594,17586
"Doesburg",0.112,0.086,1.135,0.23,23.3,824,629,7334
"Doetinchem",0.141,0.082,1.627,0.26,24.3,4976,2881,35215
"Dongen",0.137,0.07,1.784,0.19,25.6,2165,1101,15818
"Dongeradeel",0.304,0.06,0.7,0.19,22.1,4556,901,14976
"Dordrecht",0.094,0.093,3.23,0.28,24.2,6402,6342,68424
"Drechterland",0.148,0.065,0.446,0.23,26.4,1833,812,12398
"Drimmelen",0.135,0.06,0.968,0.23,26.8,2327,1040,17196
"Dronten",0.181,0.065,1.11,0.25,25.3,4515,1617,25008
"Druten",0.129,0.066,1.072,0.3,25.1,1525,777,11780
"Duiven",0.143,0.079,1.73,0.32,25.5,2345,1298,16399
"Echt-Susteren",0.199,0.053,0.887,0.28,24.9,3994,1064,20115
"Edam-Volendam",0.222,0.052,2.001,0.19,27.6,5251,1219,23662
"Ede",0.149,0.064,2.113,0.31,25.7,10686,4585,71551
"Eemnes",0.134,0.062,1.386,0.24,29,804,374,5986
"Eemsmond",0.171,0.075,0.247,0.19,22.1,1731,763,10111
"Eersel",0.205,0.055,0.662,0.31,28.2,2454,661,11986
"Eijsden-Margraten",0.209,0.07,0.438,0.34,27.3,3491,1176,16700
"Eindhoven",0.086,0.121,3.22,0.35,24.6,10882,15240,125866
"Elburg",0.196,0.03,0.881,0.23,24.4,2865,437,14640
"Emmen",0.144,0.065,1.091,0.18,22.3,9455,4304,65810
"Enkhuizen",0.102,0.09,2.32,0.27,24.1,1158,1027,11351
"Enschede",0.123,0.094,2.768,0.27,22.2,11163,8574,90902
"Epe",0.155,0.055,0.977,0.2,26,3280,1171,21154
"Ermelo",0.206,0.056,1.478,0.33,26.9,3574,978,17328
"Etten-Leur",0.138,0.074,2.435,0.27,25.8,3541,1909,25724
"Ferwerderadiel",0.281,0.062,0,0.19,22.8,1491,328,5309
"Franekeradeel",0.218,0.083,0.867,0.23,22.4,2758,1045,12657
"Geertruidenberg",0.128,0.06,1.781,0.2,25.4,1695,801,13290
"Geldermalsen",0.134,0.053,0.739,0.27,27.7,2308,917,17190
"Geldrop-Mierlo",0.139,0.081,2.07,0.3,25.9,3377,1961,24222
"Gemert-Bakel",0.199,0.058,1.183,0.2,24.9,3691,1067,18515
"Gennep",0.142,0.065,0.81,0.27,24.6,1520,693,10701
"Giessenlanden",0.177,0.04,0.099,0.27,28.7,1738,393,9813
"Gilze en Rijen",0.14,0.072,1.738,0.29,25.4,2256,1161,16143
"Goeree-Overflakkee",0.129,0.035,0.887,0.23,26.2,4105,1098,31701
"Goes",0.147,0.08,1.769,0.29,25.4,3434,1866,23298
"Goirle",0.134,0.085,1.794,0.32,27,2018,1275,15055
"Gooise Meren",0.091,0.09,2.57,0.39,NA,3252,3221,35648
"Gorinchem",0.1,0.082,2.543,0.27,25,2135,1741,21304
"Gouda",0.101,0.107,3.256,0.33,25.4,4400,4660,43572
"Grave",0.151,0.067,0.778,0.25,25.3,1189,527,7856
"Grootegast",0.275,0.055,0,0.19,22.9,2052,413,7461
"Gulpen-Wittem",0.19,0.087,0.207,0.31,25.6,1865,856,9825
"Haaksbergen",0.246,0.05,1.45,0.21,24.8,3916,796,15888
"Haaren",0.198,0.07,0.291,0.27,29,1754,622,8845
"Haarlem",0.062,0.16,3.735,0.42,26.1,5853,15172,94772
"Haarlemmerliede en Spaarnwoude",0.115,0.094,0.647,0.21,28.6,421,346,3671
"Haarlemmermeer",0.105,0.075,2.435,0.29,28,9182,6579,87278
"Halderberge",0.139,0.056,0.981,0.25,25.7,2496,1006,18012
"Hardenberg",0.26,0.04,0.615,0.16,23.6,9959,1551,38344
"Harderwijk",0.171,0.066,2.276,0.24,25.1,4908,1882,28647
"Hardinxveld-Giessendam",0.151,0.025,1.391,0.23,25.7,1741,292,11508
"Haren",0.116,0.142,1.303,0.46,30.8,1526,1863,13161
"Harlingen",0.14,0.079,1.523,0.25,22.2,1360,771,9701
"Hattem",0.189,0.056,1.208,0.31,26.6,1526,452,8058
"Heemskerk",0.108,0.094,3.111,0.23,25.8,2663,2300,24562
"Heemstede",0.102,0.092,2.475,0.47,35.3,1812,1634,17800
"Heerde",0.214,0.042,0.786,0.27,25.7,2620,509,12215
"Heerenveen",0.138,0.096,1.325,0.23,24.1,4318,2996,31367
"Heerhugowaard",0.111,0.086,2.488,0.21,24.9,3563,2766,32063
"Heerlen",0.097,0.073,2.694,0.22,21.8,4822,3594,49473
"Heeze-Leende",0.177,0.061,0.617,0.28,29.2,1829,625,10307
"Heiloo",0.113,0.101,1.979,0.36,29.5,1771,1589,15669
"Hellendoorn",0.306,0.054,1.137,0.18,24.2,7287,1292,23785
"Hellevoetsluis",0.091,0.058,2.406,0.22,26.7,2118,1360,23388
"Helmond",0.107,0.072,2.41,0.23,23.7,5272,3532,49052
"Hendrik-Ido-Ambacht",0.125,0.046,2.772,0.24,27.5,2333,852,18643
"het Bildt",0.22,0.072,0.169,0.19,21.9,1386,457,6313
"Heumen",0.15,0.104,1.029,0.33,28.6,1659,1153,11051
"Heusden",0.146,0.06,1.565,0.31,26.3,4010,1642,27381
"Hillegom",0.124,0.074,2.331,0.24,26.2,1641,980,13259
"Hilvarenbeek",0.206,0.066,0.675,0.29,27.5,2093,673,10153
"Hilversum",0.083,0.116,3.289,0.39,27.4,4345,6073,52415
"Hof van Twente",0.249,0.051,0.78,0.28,26,5851,1200,23543
"Hollands Kroon",0.132,0.063,0.431,0.19,25,3887,1867,29465
"Hoogeveen",0.205,0.053,1.559,0.19,22.5,6958,1812,33900
"Hoogezand-Sappemeer",0.089,0.09,1.911,0.2,21.8,1788,1808,20017
"Hoorn",0.09,0.109,2.463,0.25,24.8,3827,4659,42711
"Horst aan de Maas",0.225,0.055,0.731,0.24,25.7,5886,1444,26162
"Houten",0.122,0.1,2.206,0.41,29.7,3810,3129,31220
"Huizen",0.13,0.074,2.841,0.33,28.3,3483,1973,26697
"Hulst",0.155,0.057,0.477,0.21,25.3,2381,882,15355
"IJsselstein",0.125,0.077,2.702,0.3,27.8,2634,1630,21070
"Kaag en Braassem",0.156,0.062,0.776,0.23,28,2722,1090,17464
"Kampen",0.195,0.058,1.908,0.23,23.3,6505,1934,33329
"Kapelle",0.157,0.048,0.874,0.26,26.4,1294,395,8248
"Katwijk",0.205,0.038,3.025,0.2,25.6,8263,1528,40316
"Kerkrade",0.111,0.054,2.557,0.2,21.4,2775,1350,25035
"Koggenland",0.154,0.064,0.483,0.26,26.3,2233,931,14506
"Kollumerland en Nieuwkruisland",0.285,0.052,0.36,0.16,22.2,2251,413,7888
"Korendijk",0.127,0.045,0.047,0.24,27.4,922,327,7265
"Krimpen aan den IJssel",0.107,0.053,2.84,0.24,26.8,2009,995,18753
"Krimpenerwaard",0.133,0.056,1.074,0.25,27.1,4830,2018,36306
"Laarbeek",0.174,0.051,0.743,0.25,25.6,2400,707,13774
"Landerd",0.191,0.048,0.546,0.28,25.8,1916,479,10037
"Landgraaf",0.119,0.058,2.395,0.25,23.3,2730,1339,23003
"Landsmeer",0.074,0.099,1.498,0.36,30.1,546,728,7348
"Langedijk",0.12,0.088,1.334,0.3,26.7,2141,1559,17769
"Lansingerland",0.136,0.056,2.049,0.36,30.4,5027,2060,37018
"Leek",0.159,0.088,0.94,0.26,24,1969,1090,12380
"Leerdam",0.131,0.054,1.868,0.25,24.5,1666,684,12702
"Leeuwarden",0.108,0.131,2.652,0.3,22.6,7294,8809,67334
"Leeuwarderadeel",0.196,0.077,0.675,0.25,24.1,1317,518,6727
"Leiden",0.063,0.172,3.738,0.45,26,4818,13179,76572
"Leiderdorp",0.114,0.09,3.211,0.32,28.3,2001,1581,17510
"Leidschendam-Voorburg",0.117,0.082,3.437,0.39,28.3,5351,3744,45733
"Lelystad",0.09,0.089,2.068,0.23,23.5,3825,3796,42436
"Leudal",0.18,0.043,0.275,0.24,25.9,4045,966,22457
"Leusden",0.149,0.089,1.81,0.34,29.4,2968,1770,19919
"Lingewaal",0.171,0.047,0.135,0.24,27.1,1241,341,7247
