"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west","Perc_60plus"
"Aa en Hunze",0.102576195,0.16646896,0.27,26.2,"1",0.168551768
"Aalburg",0.164811229,0.342769702,0.24,26,"1",0.114257289
"Aalsmeer",0.124947764,1.32036978,0.23,29,"2",0.106492844
"Aalten",0.248423634,1.088354898,0.19,23.8,"1",0.132694938
"Achtkarspelen",0.243232036,0.403370384,0.12,21.5,"1",0.127523034
"Alblasserdam",0.120255759,2.369130869,0.18,25.2,"2",0.106407437
"Albrandswaard",0.113517695,1.530864198,0.27,30.2,"3",0.117267477
"Alkmaar",0.088280061,2.896004429,0.3,24.8,"3",0.129026603
"Almelo",0.156697759,2.312732791,0.22,22.5,"3",0.121814595
"Almere",0.067830211,2.38460007,0.29,24.8,"3",0.10037628
"Alphen-Chaam",0.215289319,0,0.28,27.8,"1",0.1426725
"Alphen aan den Rijn",0.13412441,2.43936473,0.27,26.7,"3",0.125556627
"Ameland",0.224789146,0,0.28,22.7,"1",0.139003578
"Amersfoort",0.097040845,2.991123494,0.41,26.9,"3",0.098220129
"Amstelveen",0.082264738,3.290290066,0.43,29.7,"3",0.108596322
"Amsterdam",0.030763019,3.788955429,0.47,25.3,"3",0.092732444
"Apeldoorn",0.127241969,2.50390503,0.27,25.4,"2",0.130217998
"Appingedam",0.142679558,1.431077694,0.22,22.3,"2",0.144098237
"Arnhem",0.068825682,2.810404624,0.37,23.2,"3",0.10474698
"Assen",0.115889912,2.07357513,0.28,23.7,"2",0.125075869
"Asten",0.207798338,1.322561341,0.25,25.6,"1",0.142096446
"Baarle-Nassau",0.221471653,0.493993994,0.26,25.1,"1",0.15817936
"Baarn",0.112622103,2.376120619,0.34,29.2,"2",0.135757675
"Barendrecht",0.120242506,2.601779065,0.37,29.4,"3",0.110354956
"Barneveld",0.192544498,1.311158418,0.26,25.8,"1",0.09942174
"Bedum",0.209140874,0.854007634,0.32,24.3,"1",0.146197156
"Beemster",0.116933527,0.874049946,0.32,29.4,"1",0.138403042
"Beesel",0.155017811,0.967188665,0.16,24,"2",0.145020515
"Bellingwedde",0.096943231,0,0.23,22.6,"1",0.178383227
"Bergeijk",0.247576927,0.585605234,0.25,26.6,"1",0.135590448
"Bergen (L.)",0.185448842,0.309160305,0.16,24.1,"1",0.156395571
"Bergen (NH.)",0.102029862,1.194369973,0.3,29.9,"1",0.170955636
"Bergen op Zoom",0.107184654,2.471059392,0.28,25,"3",0.135572214
"Berkelland",0.207908642,0.9032331,0.25,24.4,"1",0.145530991
"Bernheze",0.204445153,0.851619299,0.28,26.7,"1",0.129445987
"Best",0.13588984,1.959904044,0.31,27.6,"2",0.1212817
"Beuningen",0.128202008,1.449469131,0.29,26.3,"2",0.137783197
"Beverwijk",0.080111825,3.461802997,0.23,24.1,"3",0.113488418
"Binnenmaas",0.140338139,0.806662088,0.25,28.5,"1",0.143362406
"Bladel",0.192060851,1.041375872,0.21,26,"1",0.127747595
"Blaricum",0.111647644,1.490677134,0.34,39,"2",0.16625821
"Bloemendaal",0.100332005,1.49890495,0.4,41.8,"2",0.140059581
"Bodegraven-Reeuwijk",0.161299202,1.669433739,0.3,29.4,"2",0.123825334
"Boekel",0.244907552,0.62728146,0.21,25.4,"1",0.120894949
"Borger-Odoorn",0.131344533,0.189274448,0.24,23.9,"1",0.156261092
"Borne",0.240548904,1.784993418,0.31,26,"2",0.130730423
"Borsele",0.171621999,0.311150286,0.27,25.7,"1",0.129099083
"Boxtel",0.136156599,1.858727569,0.25,25.6,"2",0.137400098
"Breda",0.096324299,2.774108612,0.36,26.4,"3",0.111209847
"Brielle",0.1105389,1.243467933,0.3,28.3,"2",0.143289966
"Bronckhorst",0.21517372,0.40071409,0.21,25.9,"1",0.154847569
"Brummen",0.125338605,1.157314149,0.29,25.9,"2",0.14297366
"Brunssum",0.113658849,2.602044413,0.21,22.1,"2",0.144509486
"Bunnik",0.147032772,0.76055409,0.42,30.9,"2",0.125164951
"Bunschoten",0.25058109,1.861560419,0.24,26.1,"2",0.104567079
"Buren",0.122551333,0.066793169,0.28,27.4,"1",0.140959466
"Capelle aan den IJssel",0.0905735,3.19978922,0.28,25.5,"3",0.134023878
"Castricum",0.116505256,1.869639307,0.35,29.5,"1",0.138630168
"Coevorden",0.168984946,0.532011331,0.21,24,"1",0.145723516
