"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Aa en Hunze",0.102576195248482,0.166468960063266,0.27,26.2,0.02,"1"
"Aalburg",0.164811229428848,0.342769701606733,0.24,26,0.02,"1"
"Aalsmeer",0.124947764312578,1.32036978004463,0.23,29,0.08,"2"
"Aalten",0.248423633815974,1.08835489833641,0.19,23.8,0.04,"1"
"Achtkarspelen",0.243232036016824,0.403370383650054,0.12,21.5,0.02,"1"
"Alblasserdam",0.120255758668743,2.36913086913087,0.18,25.2,0.07,"2"
"Albrandswaard",0.113517694836589,1.53086419753086,0.27,30.2,0.12,"3"
"Alkmaar",0.0882800608828006,2.89600442927009,0.3,24.8,0.13,"3"
"Almelo",0.156697759399942,2.31273279072976,0.22,22.5,0.15,"3"
"Almere",0.0678302110505098,2.38460006968294,0.29,24.8,0.3,"3"
"Alphen-Chaam",0.215289318628192,0,0.28,27.8,0.02,"1"
"Alphen aan den Rijn",0.134124410377358,2.43936472964289,0.27,26.7,0.1,"3"
"Ameland",0.224789145581225,0,0.28,22.7,0.02,"1"
"Amersfoort",0.097040845412413,2.99112349358559,0.41,26.9,0.15,"3"
"Amstelveen",0.082264738416158,3.29029006607683,0.43,29.7,0.22,"3"
"Amsterdam",0.0307630190493905,3.78895542878784,0.47,25.3,0.35,"3"
"Apeldoorn",0.127241969470633,2.50390502967823,0.27,25.4,0.09,"2"
"Appingedam",0.14267955801105,1.43107769423559,0.22,22.3,0.06,"2"
"Arnhem",0.0688256822700163,2.81040462427746,0.37,23.2,0.2,"3"
"Assen",0.115889911775988,2.07357512953368,0.28,23.7,0.07,"2"
"Asten",0.20779833836858,1.32256134051466,0.25,25.6,0.03,"1"
"Baarle-Nassau",0.221471652593486,0.493993993993994,0.26,25.1,0.02,"1"
"Baarn",0.112622103045394,2.3761206193969,0.34,29.2,0.08,"2"
"Barendrecht",0.12024250589424,2.60177906495656,0.37,29.4,0.15,"3"
"Barneveld",0.192544497929027,1.31115841759801,0.26,25.8,0.04,"1"
"Bedum",0.209140873589818,0.854007633587786,0.32,24.3,0.03,"1"
"Beemster",0.116933527413877,0.874049945711184,0.32,29.4,0.04,"1"
"Beesel",0.15501781107972,0.967188665175242,0.16,24,0.05,"2"
"Bellingwedde",0.096943231441048,0,0.23,22.6,0.03,"1"
"Bergeijk",0.247576926696151,0.585605234460196,0.25,26.6,0.02,"1"
"Bergen (L.)",0.185448841698842,0.309160305343511,0.16,24.1,0.02,"1"
"Bergen (NH.)",0.102029862398751,1.19436997319035,0.3,29.9,0.03,"1"
"Bergen op Zoom",0.107184653742431,2.47105939247393,0.28,25,0.14,"3"
"Berkelland",0.207908641554457,0.903233099706082,0.25,24.4,0.03,"1"
"Bernheze",0.20444515340033,0.851619299405155,0.28,26.7,0.03,"1"
"Best",0.135889839806891,1.95990404386566,0.31,27.6,0.07,"2"
"Beuningen",0.128202007909948,1.4494691309477,0.29,26.3,0.05,"2"
"Beverwijk",0.0801118245751977,3.46180299680668,0.23,24.1,0.14,"3"
"Binnenmaas",0.140338139197179,0.806662087912088,0.25,28.5,0.04,"1"
"Bladel",0.192060850962681,1.04137587238285,0.21,26,0.03,"1"
"Blaricum",0.11164764413228,1.49067713444553,0.34,39,0.07,"2"
"Bloemendaal",0.100332005312085,1.49890494962768,0.4,41.8,0.05,"2"
"Bodegraven-Reeuwijk",0.16129920176163,1.66943373851171,0.3,29.4,0.06,"2"
"Boekel",0.244907552491382,0.627281460134486,0.21,25.4,0.02,"1"
"Borger-Odoorn",0.131344532791296,0.189274447949527,0.24,23.9,0.02,"1"
"Borne",0.240548903538275,1.78499341816586,0.31,26,0.05,"2"
"Borsele",0.171621998883305,0.31115028646981,0.27,25.7,0.03,"1"
"Boxtel",0.136156599067346,1.85872756933116,0.25,25.6,0.08,"2"
"Breda",0.0963242985337566,2.77410861217773,0.36,26.4,0.12,"3"
"Brielle",0.110538900128747,1.24346793349169,0.3,28.3,0.05,"2"
"Bronckhorst",0.215173719743125,0.400714089535842,0.21,25.9,0.02,"1"
"Brummen",0.125338604583059,1.15731414868106,0.29,25.9,0.06,"2"
"Brunssum",0.113658848862248,2.60204441311244,0.21,22.1,0.05,"2"
"Bunnik",0.147032772364925,0.760554089709763,0.42,30.9,0.05,"2"
"Bunschoten",0.250581090200195,1.86156041864891,0.24,26.1,0.05,"2"
"Buren",0.122551333490677,0.0667931688804554,0.28,27.4,0.02,"1"
"Capelle aan den IJssel",0.0905735003295979,3.19978922011442,0.28,25.5,0.23,"3"
"Castricum",0.116505256187402,1.86963930701505,0.35,29.5,0.04,"1"
"Coevorden",0.16898494585791,0.532011331444759,0.21,24,0.03,"1"
"Cranendonck",0.180123743232792,0.719052224371373,0.24,25.8,0.04,"1"
"Cromstrijen",0.135405872193437,0.944487881157154,0.3,28.3,0.03,"1"
"Cuijk",0.140105303711314,1.09068825910931,0.22,24.5,0.1,"3"
"Culemborg",0.0963675948206715,2.26946537495515,0.31,25.8,0.14,"3"
"Dalfsen",0.320615616423613,0.654312188168211,0.27,25.5,0.02,"1"
"Dantumadiel",0.261730882229497,0.423746701846966,0.22,21.9,0.02,"1"
"De Bilt",0.103093147109653,1.85246668225392,0.44,31.9,0.08,"2"
"De Marne",0.172306252923749,0,0.21,22.6,0.02,"1"
"De Ronde Venen",0.139636752136752,1.32172083235913,0.27,30.6,0.07,"2"
"De Wolden",0.190188679245283,0.173473684210526,0.23,25.6,0.02,"1"
"Delft",0.075632789305064,3.6491418425725,0.43,24.5,0.2,"3"
"Delfzijl",0.138759172781855,0.878654385262315,0.14,22.4,0.1,"3"
"Den Helder",0.122557077625571,2.59728668332738,0.19,23.1,0.1,"3"
"Deurne",0.195608380338437,1.17276995305164,0.26,24.9,0.03,"1"
"Deventer",0.102756686728218,2.40976837865055,0.34,24.1,0.13,"3"
"Diemen",0.0617382087970323,3.30681818181818,0.35,26.2,0.28,"3"
"Dinkelland",0.373023996360742,0.530868902439024,0.26,26,0.02,"1"
"Doesburg",0.112353422416144,1.13492063492063,0.23,23.3,0.1,"3"
"Doetinchem",0.141303421837285,1.62736510161177,0.26,24.3,0.07,"2"
"Dongen",0.136869389303325,1.78361426891415,0.19,25.6,0.06,"2"
"Dongeradeel",0.304220085470085,0.699581589958159,0.19,22.1,0.02,"1"
"Dordrecht",0.093563661873027,3.22959656363177,0.28,24.2,0.18,"3"
"Drechterland",0.147846426843039,0.44559051057246,0.23,26.4,0.03,"1"
"Drimmelen",0.135322167946034,0.968005952380952,0.23,26.8,0.03,"1"
"Dronten",0.180542226487524,1.10972017673049,0.25,25.3,0.08,"2"
"Druten",0.129456706281834,1.07162089391492,0.3,25.1,0.06,"2"
"Duiven",0.142996524178304,1.72992125984252,0.32,25.5,0.05,"2"
"Echt-Susteren",0.198558289833458,0.886584982720704,0.28,24.9,0.04,"1"
"Edam-Volendam",0.22191699771786,2.00139625802848,0.19,27.6,0.04,"1"
"Ede",0.149348017498008,2.11337388697875,0.31,25.7,0.08,"2"
"Eemnes",0.1343133979285,1.38555555555556,0.24,29,0.05,"2"
"Eemsmond",0.171199683513006,0.247126436781609,0.19,22.1,0.03,"1"
"Eersel",0.204738862005673,0.66199460916442,0.31,28.2,0.03,"1"
"Eijsden-Margraten",0.209041916167665,0.438339920948617,0.34,27.3,0.02,"1"
"Eindhoven",0.0864570257257719,3.22030237580994,0.35,24.6,0.19,"3"
"Elburg",0.195696721311475,0.881024750325662,0.23,24.4,0.03,"1"
"Emmen",0.143671174593527,1.09098520792632,0.18,22.3,0.05,"2"
"Enkhuizen",0.102017443397058,2.32017306652244,0.27,24.1,0.07,"2"
"Enschede",0.122802578601131,2.76843303402049,0.27,22.2,0.16,"3"
"Epe",0.155053417793325,0.976951444376152,0.2,26,0.05,"2"
"Ermelo",0.206255771006464,1.47799924783753,0.33,26.9,0.04,"1"
"Etten-Leur",0.137653553102161,2.43527771322333,0.27,25.8,0.09,"2"
"Ferwerderadiel",0.280843850065926,0,0.19,22.8,0.03,"1"
"Franekeradeel",0.217903136604251,0.867457962413452,0.23,22.4,0.03,"1"
"Geertruidenberg",0.127539503386005,1.78139534883721,0.2,25.4,0.03,"1"
"Geldermalsen",0.134264107038976,0.738999623918767,0.27,27.7,0.04,"1"
"Geldrop-Mierlo",0.139418710263397,2.06960081883316,0.3,25.9,0.08,"2"
"Gemert-Bakel",0.199351876856603,1.18254497001999,0.2,24.9,0.03,"1"
"Gennep",0.142042799738342,0.810274372446001,0.27,24.6,0.04,"1"
"Giessenlanden",0.177111994293284,0.0986301369863014,0.27,28.7,0.02,"1"
