"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Aa en Hunze",0.0904321169604433,0.166468960063266,0.27,26.2,1
"Aalburg",0.0199661181026137,0.342769701606733,0.24,26,1
"Aalsmeer",0.0582950271625575,1.32036978004463,0.23,29,2
"Aalten",0.0663825315273237,1.08835489833641,0.19,23.8,1
"Achtkarspelen",0.0466796990699603,0.403370383650054,0.12,21.5,1
"Alblasserdam",0.0506598901549307,2.36913086913087,0.18,25.2,2
"Albrandswaard",0.0555018371688261,1.53086419753086,0.27,30.2,3
"Alkmaar",0.13089802130898,2.89600442927009,0.3,24.8,3
"Almelo",0.0657274737955573,2.31273279072976,0.22,22.5,3
"Almere",0.103296182119991,2.38460006968294,0.29,24.8,3
"Alphen-Chaam",0.0497053935639825,0,0.28,27.8,1
"Alphen aan den Rijn",0.0798938679245283,2.43936472964289,0.27,26.7,3
"Ameland",0.0634396773010634,0,0.28,22.7,1
"Amersfoort",0.12506994077468,2.99112349358559,0.41,26.9,3
"Amstelveen",0.109344913761318,3.29029006607683,0.43,29.7,3
"Amsterdam",0.205446701175446,3.78895542878784,0.47,25.3,3
"Apeldoorn",0.0880662425927208,2.50390502967823,0.27,25.4,2
"Appingedam",0.0772099447513812,1.43107769423559,0.22,22.3,2
"Arnhem",0.147377101030183,2.81040462427746,0.37,23.2,3
"Assen",0.104406405830456,2.07357512953368,0.28,23.7,2
"Asten",0.0553247734138973,1.32256134051466,0.25,25.6,1
"Baarle-Nassau",0.0516284680337756,0.493993993993994,0.26,25.1,1
"Baarn",0.0902126029496265,2.3761206193969,0.34,29.2,2
"Barendrecht",0.0622431795217245,2.60177906495656,0.37,29.4,3
"Barneveld",0.0272304936751371,1.31115841759801,0.26,25.8,1
"Bedum",0.0960370263234018,0.854007633587786,0.32,24.3,1
"Beemster",0.0729419375707585,0.874049945711184,0.32,29.4,1
"Beesel",0.0605576710477828,0.967188665175242,0.16,24,2
"Bellingwedde",0.0717903930131004,0,0.23,22.6,1
"Bergeijk",0.0541074621247765,0.585605234460196,0.25,26.6,1
"Bergen (L.)",0.0448841698841699,0.309160305343511,0.16,24.1,1
"Bergen (NH.)",0.106372596857617,1.19436997319035,0.3,29.9,1
"Bergen op Zoom",0.0806492647432962,2.47105939247393,0.28,25,3
"Berkelland",0.0672575421851031,0.903233099706082,0.25,24.4,1
"Bernheze",0.0525336310948051,0.851619299405155,0.28,26.7,1
"Best",0.0663813912661839,1.95990404386566,0.31,27.6,2
"Beuningen",0.0786735625190143,1.4494691309477,0.29,26.3,2
"Beverwijk",0.0974970515004587,3.46180299680668,0.23,24.1,3
"Binnenmaas",0.0481796494139612,0.806662087912088,0.25,28.5,1
"Bladel",0.0536407574677125,1.04137587238285,0.21,26,1
"Blaricum",0.0512145156570091,1.49067713444553,0.34,39,2
"Bloemendaal",0.0841965471447543,1.49890494962768,0.4,41.8,2
