"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Aa en Hunze",0.102576195248482,0.0904321169604433,0.166468960063266,0.27,26.2,0.02,"1"
"Aalburg",0.164811229428848,0.0199661181026137,0.342769701606733,0.24,26,0.02,"1"
"Aalsmeer",0.124947764312578,0.0582950271625575,1.32036978004463,0.23,29,0.08,"2"
"Aalten",0.248423633815974,0.0663825315273237,1.08835489833641,0.19,23.8,0.04,"1"
"Achtkarspelen",0.243232036016824,0.0466796990699603,0.403370383650054,0.12,21.5,0.02,"1"
"Alblasserdam",0.120255758668743,0.0506598901549307,2.36913086913087,0.18,25.2,0.07,"2"
"Albrandswaard",0.113517694836589,0.0555018371688261,1.53086419753086,0.27,30.2,0.12,"3"
"Alkmaar",0.0882800608828006,0.13089802130898,2.89600442927009,0.3,24.8,0.13,"3"
"Almelo",0.156697759399942,0.0657274737955573,2.31273279072976,0.22,22.5,0.15,"3"
"Almere",0.0678302110505098,0.103296182119991,2.38460006968294,0.29,24.8,0.3,"3"
"Alphen-Chaam",0.215289318628192,0.0497053935639825,0,0.28,27.8,0.02,"1"
"Alphen aan den Rijn",0.134124410377358,0.0798938679245283,2.43936472964289,0.27,26.7,0.1,"3"
"Ameland",0.224789145581225,0.0634396773010634,0,0.28,22.7,0.02,"1"
"Amersfoort",0.097040845412413,0.12506994077468,2.99112349358559,0.41,26.9,0.15,"3"
"Amstelveen",0.082264738416158,0.109344913761318,3.29029006607683,0.43,29.7,0.22,"3"
"Amsterdam",0.0307630190493905,0.205446701175446,3.78895542878784,0.47,25.3,0.35,"3"
"Apeldoorn",0.127241969470633,0.0880662425927208,2.50390502967823,0.27,25.4,0.09,"2"
"Appingedam",0.14267955801105,0.0772099447513812,1.43107769423559,0.22,22.3,0.06,"2"
"Arnhem",0.0688256822700163,0.147377101030183,2.81040462427746,0.37,23.2,0.2,"3"
"Assen",0.115889911775988,0.104406405830456,2.07357512953368,0.28,23.7,0.07,"2"
"Asten",0.20779833836858,0.0553247734138973,1.32256134051466,0.25,25.6,0.03,"1"
"Baarle-Nassau",0.221471652593486,0.0516284680337756,0.493993993993994,0.26,25.1,0.02,"1"
"Baarn",0.112622103045394,0.0902126029496265,2.3761206193969,0.34,29.2,0.08,"2"
"Barendrecht",0.12024250589424,0.0622431795217245,2.60177906495656,0.37,29.4,0.15,"3"
"Barneveld",0.192544497929027,0.0272304936751371,1.31115841759801,0.26,25.8,0.04,"1"
"Bedum",0.209140873589818,0.0960370263234018,0.854007633587786,0.32,24.3,0.03,"1"
"Beemster",0.116933527413877,0.0729419375707585,0.874049945711184,0.32,29.4,0.04,"1"
"Beesel",0.15501781107972,0.0605576710477828,0.967188665175242,0.16,24,0.05,"2"
"Bellingwedde",0.096943231441048,0.0717903930131004,0,0.23,22.6,0.03,"1"
"Bergeijk",0.247576926696151,0.0541074621247765,0.585605234460196,0.25,26.6,0.02,"1"
"Bergen (L.)",0.185448841698842,0.0448841698841699,0.309160305343511,0.16,24.1,0.02,"1"
"Bergen (NH.)",0.102029862398751,0.106372596857617,1.19436997319035,0.3,29.9,0.03,"1"
"Bergen op Zoom",0.107184653742431,0.0806492647432962,2.47105939247393,0.28,25,0.14,"3"
"Berkelland",0.207908641554457,0.0672575421851031,0.903233099706082,0.25,24.4,0.03,"1"
"Bernheze",0.20444515340033,0.0525336310948051,0.851619299405155,0.28,26.7,0.03,"1"
"Best",0.135889839806891,0.0663813912661839,1.95990404386566,0.31,27.6,0.07,"2"
"Beuningen",0.128202007909948,0.0786735625190143,1.4494691309477,0.29,26.3,0.05,"2"
"Beverwijk",0.0801118245751977,0.0974970515004587,3.46180299680668,0.23,24.1,0.14,"3"
"Binnenmaas",0.140338139197179,0.0481796494139612,0.806662087912088,0.25,28.5,0.04,"1"
"Bladel",0.192060850962681,0.0536407574677125,1.04137587238285,0.21,26,0.03,"1"
"Blaricum",0.11164764413228,0.0512145156570091,1.49067713444553,0.34,39,0.07,"2"
"Bloemendaal",0.100332005312085,0.0841965471447543,1.49890494962768,0.4,41.8,0.05,"2"
"Bodegraven-Reeuwijk",0.16129920176163,0.0570235801449674,1.66943373851171,0.3,29.4,0.06,"2"
"Boekel",0.244907552491382,0.0401128172986525,0.627281460134486,0.21,25.4,0.02,"1"
"Borger-Odoorn",0.131344532791296,0.0649847551862259,0.189274447949527,0.24,23.9,0.02,"1"
"Borne",0.240548903538275,0.0640387461321135,1.78499341816586,0.31,26,0.05,"2"
"Borsele",0.171621998883305,0.0464126186487996,0.31115028646981,0.27,25.7,0.03,"1"
"Boxtel",0.136156599067346,0.086107797418935,1.85872756933116,0.25,25.6,0.08,"2"
"Breda",0.0963242985337566,0.106132897803388,2.77410861217773,0.36,26.4,0.12,"3"
"Brielle",0.110538900128747,0.0555453375022991,1.24346793349169,0.3,28.3,0.05,"2"
"Bronckhorst",0.215173719743125,0.0611724024370163,0.400714089535842,0.21,25.9,0.02,"1"
"Brummen",0.125338604583059,0.0843399956072919,1.15731414868106,0.29,25.9,0.06,"2"
"Brunssum",0.113658848862248,0.0552290054123261,2.60204441311244,0.21,22.1,0.05,"2"
"Bunnik",0.147032772364925,0.134041925007381,0.760554089709763,0.42,30.9,0.05,"2"
"Bunschoten",0.250581090200195,0.0193446802129414,1.86156041864891,0.24,26.1,0.05,"2"
"Buren",0.122551333490677,0.046023129572811,0.0667931688804554,0.28,27.4,0.02,"1"
"Capelle aan den IJssel",0.0905735003295979,0.076704021094265,3.19978922011442,0.28,25.5,0.23,"3"
"Castricum",0.116505256187402,0.111166294180945,1.86963930701505,0.35,29.5,0.04,"1"
"Coevorden",0.16898494585791,0.0586759397834316,0.532011331444759,0.21,24,0.03,"1"
"Cranendonck",0.180123743232792,0.0423820572312452,0.719052224371373,0.24,25.8,0.04,"1"
"Cromstrijen",0.135405872193437,0.0491652274035694,0.944487881157154,0.3,28.3,0.03,"1"
"Cuijk",0.140105303711314,0.0715294721972518,1.09068825910931,0.22,24.5,0.1,"3"
"Culemborg",0.0963675948206715,0.126102899048929,2.26946537495515,0.31,25.8,0.14,"3"
"Dalfsen",0.320615616423613,0.0430500995533552,0.654312188168211,0.27,25.5,0.02,"1"
"Dantumadiel",0.261730882229497,0.0462519936204147,0.423746701846966,0.22,21.9,0.02,"1"
"De Bilt",0.103093147109653,0.114520509293549,1.85246668225392,0.44,31.9,0.08,"2"
"De Marne",0.172306252923749,0.0895056915640106,0,0.21,22.6,0.02,"1"
"De Ronde Venen",0.139636752136752,0.0682336182336182,1.32172083235913,0.27,30.6,0.07,"2"
"De Wolden",0.190188679245283,0.060314465408805,0.173473684210526,0.23,25.6,0.02,"1"
"Delft",0.075632789305064,0.145965077075331,3.6491418425725,0.43,24.5,0.2,"3"
