"","Gemeente","Average income in €1000"
"1","Aa en Hunze",26.2
"2","Aalburg",26
"3","Aalsmeer",29
"4","Aalten",23.8
"5","Achtkarspelen",21.5
"6","Alblasserdam",25.2
"7","Albrandswaard",30.2
"8","Alkmaar",24.8
"9","Almelo",22.5
"10","Almere",24.8
"11","Alphen aan den Rijn",26.7
"12","Alphen-Chaam",27.8
"13","Ameland",22.7
"14","Amersfoort",26.9
"15","Amstelveen",29.7
"16","Amsterdam",25.3
"17","Apeldoorn",25.4
"18","Appingedam",22.3
"19","Arnhem",23.2
"20","Assen",23.7
"21","Asten",25.6
"22","Baarle-Nassau",25.1
"23","Baarn",29.2
"24","Barendrecht",29.4
"25","Barneveld",25.8
"26","Bedum",24.3
"27","Beek (L.)",25.5
"28","Beemster",29.4
"29","Beesel",24
"30","Bellingwedde",22.6
"31","Berg en Dal",NA
"32","Bergeijk",26.6
"33","Bergen (L.)",24.1
"34","Bergen (NH.)",29.9
"35","Bergen op Zoom",25
"36","Berkelland",24.4
"37","Bernheze",26.7
"38","Best",27.6
"39","Beuningen",26.3
"40","Beverwijk",24.1
"41","het Bildt",21.9
"42","De Bilt",31.9
"43","Binnenmaas",28.5
"44","Bladel",26
"45","Blaricum",39
"46","Bloemendaal",41.8
"47","Bodegraven-Reeuwijk",29.4
"48","Boekel",25.4
"49","Ten Boer",24.7
"50","Borger-Odoorn",23.9
"51","Borne",26
"52","Borsele",25.7
"53","Boxmeer",26.2
"54","Boxtel",25.6
"55","Breda",26.4
"56","Brielle",28.3
"57","Bronckhorst",25.9
"58","Brummen",25.9
"59","Brunssum",22.1
"60","Bunnik",30.9
"61","Bunschoten",26.1
"62","Buren",27.4
"63","Capelle aan den IJssel",25.5
"64","Castricum",29.5
"65","Coevorden",24
"66","Cranendonck",25.8
"67","Cromstrijen",28.3
"68","Cuijk",24.5
"69","Culemborg",25.8
"70","Dalfsen",25.5
"71","Dantumadiel",21.9
"72","Delft",24.5
"73","Delfzijl",22.4
"74","Deurne",24.9
"75","Deventer",24.1
"76","Diemen",26.2
"77","Dinkelland",26
"78","Doesburg",23.3
"79","Doetinchem",24.3
"80","Dongen",25.6
"81","Dongeradeel",22.1
"82","Dordrecht",24.2
"83","Drechterland",26.4
"84","Drimmelen",26.8
"85","Dronten",25.3
"86","Druten",25.1
"87","Duiven",25.5
"88","Echt-Susteren",24.9
"89","Edam-Volendam",27.6
"90","Ede",25.7
"91","Eemnes",29
"92","Eemsmond",22.1
"93","Eersel",28.2
"94","Eijsden-Margraten",27.3
"95","Eindhoven",24.6
"96","Elburg",24.4
"97","Emmen",22.3
"98","Enkhuizen",24.1
"99","Enschede",22.2
"100","Epe",26
"101","Ermelo",26.9
"102","Etten-Leur",25.8
"103","Ferwerderadiel",22.8
"104","Franekeradeel",22.4
"105","De Fryske Marren",NA
"106","Geertruidenberg",25.4
