"Gemeente","Dutch_perc","West_perc","Non_west_perc"
"Aa en Hunze",0.94,0.04,0.02
"Aalburg",0.94,0.04,0.02
"Aalsmeer",0.81,0.11,0.08
"Aalten",0.88,0.08,0.04
"Achtkarspelen",0.96,0.02,0.02
"Alblasserdam",0.86,0.07,0.07
"Albrandswaard",0.8,0.08,0.12
"Alkmaar",0.78,0.09,0.13
"Almelo",0.75,0.1,0.15
"Almere",0.59,0.1,0.3
"Alphen-Chaam",0.86,0.12,0.02
"Alphen aan den Rijn",0.81,0.09,0.1
"Ameland",0.93,0.05,0.02
"Amersfoort",0.76,0.09,0.15
"Amstelveen",0.59,0.19,0.22
"Amsterdam",0.47,0.17,0.35
"Apeldoorn",0.83,0.08,0.09
"Appingedam",0.86,0.07,0.06
"Arnhem",0.69,0.12,0.2
"Assen",0.85,0.08,0.07
"Asten",0.9,0.07,0.03
"Baarle-Nassau",0.74,0.23,0.02
"Baarn",0.83,0.09,0.08
"Barendrecht",0.77,0.08,0.15
"Barneveld",0.92,0.04,0.04
"Bedum",0.93,0.04,0.03
"Beek (L.)",0.86,0.1,0.04
"Beemster",0.91,0.06,0.04
"Beesel",0.84,0.11,0.05
"Bellingwedde",0.89,0.08,0.03
"Berg en Dal",0.86,0.1,0.04
"Bergeijk",0.9,0.08,0.02
"Bergen (L.)",0.85,0.13,0.02
"Bergen (NH.)",0.87,0.09,0.03
"Bergen op Zoom",0.76,0.1,0.14
"Berkelland",0.92,0.05,0.03
"Bernheze",0.92,0.06,0.03
"Best",0.85,0.09,0.07
"Beuningen",0.88,0.07,0.05
"Beverwijk",0.74,0.12,0.14
"Binnenmaas",0.91,0.05,0.04
"Bladel",0.9,0.07,0.03
"Blaricum",0.81,0.11,0.07
"Bloemendaal",0.82,0.13,0.05
"Bodegraven-Reeuwijk",0.88,0.06,0.06
"Boekel",0.92,0.06,0.02
"Borger-Odoorn",0.94,0.04,0.02
"Borne",0.89,0.07,0.05
"Borsele",0.91,0.06,0.03
"Boxmeer",0.88,0.07,0.05
"Boxtel",0.85,0.07,0.08
"Breda",0.77,0.11,0.12
"Brielle",0.87,0.09,0.05
"Bronckhorst",0.94,0.04,0.02
"Brummen",0.88,0.06,0.06
"Brunssum",0.76,0.19,0.05
"Bunnik",0.87,0.08,0.05
