"","Zeer.sterk.stedelijk","Sterk.stedelijk","Matig.stedelijk","Weinig.stedelijk","Niet.stedelijk","stedelijkheidsindex"
"Aa en Hunze",0,0,0,4210,21080,0.166468960063266
"Aalburg",0,0,0,4480,8590,0.342769701606733
"Aalsmeer",0,0,12950,15520,2900,1.32036978004463
"Aalten",0,880,8560,9680,7930,1.08835489833641
"Achtkarspelen",0,0,0,11250,16640,0.403370383650054
"Alblasserdam",0,11420,4770,3630,200,2.36913086913087
"Albrandswaard",0,280,13610,10380,840,1.53086419753086
"Alkmaar",36350,47830,9280,6390,8520,2.89600442927009
"Almelo",7140,28600,21070,11150,4530,2.31273279072976
"Almere",2410,111070,55720,24800,6910,2.38460006968294
"Alphen aan den Rijn",31050,26990,20480,19590,10820,2.43936472964289
"Alphen-Chaam",0,0,0,0,10060,0
"Ameland",0,0,0,0,3630,0
"Amersfoort",45120,76910,20490,9460,2360,2.99112349358559
"Amstelveen",44430,32700,7390,3190,1580,3.29029006607683
"Amsterdam",708530,110300,14300,7820,3990,3.78895542878784
"Apeldoorn",25610,82150,20500,10860,20930,2.50390502967823
"Appingedam",0,910,4030,6340,690,1.43107769423559
"Arnhem",33880,76500,29930,12700,2690,2.81040462427746
"Assen",6190,18600,21440,16630,4690,2.07357512953368
"Asten",0,2300,5270,4660,4480,1.32256134051466
"Baarle-Nassau",0,0,0,3290,3370,0.493993993993994
"Baarn",1280,12580,6260,2930,1490,2.3761206193969
"Barendrecht",0,31420,14890,1730,300,2.60177906495656
"Barneveld",0,12570,9910,16380,17510,1.31115841759801
"Bedum",0,0,1440,6070,2970,0.854007633587786
"Beek",0,0,7400,4090,4460,1.18432601880878
"Beemster",0,380,1460,3990,3380,0.874049945711184
"Beesel",0,0,3070,6830,3510,0.967188665175242
"Bellingwedde",0,0,0,0,8920,0
"Berg en Dal",0,0,6970,12790,15000,0.768987341772152
"Bergeijk",0,0,2760,5220,10360,0.585605234460196
"Bergen (L)",0,0,0,4050,9050,0.309160305343511
"Bergen (NH)",0,1560,10680,9600,8000,1.19436997319035
"Bergen op Zoom",15420,20450,14280,11920,4100,2.47105939247393
"Berkelland",0,0,11500,16950,15780,0.903233099706082
"Bernheze",0,0,5450,14870,9940,0.851619299405155
"Best",0,9340,11260,6650,1930,1.95990404386566
"Beuningen",0,5260,9000,3080,8090,1.4494691309477
"Beverwijk",28400,7640,2060,290,2320,3.46180299680668
"het Bildt",0,0,0,1770,8730,0.168571428571429
"De Bilt",0,16760,9730,9490,6790,1.85246668225392
"Binnenmaas",0,0,7110,9270,12740,0.806662087912088
"Bladel",0,0,6920,7050,6090,1.04137587238285
"Blaricum",10,2400,1360,5230,1190,1.49067713444553
"Bloemendaal",1080,2730,6400,8910,3710,1.49890494962768
"Bodegraven-Reeuwijk",0,10100,11390,3230,9010,1.66943373851171
"Boekel",0,0,0,6530,3880,0.627281460134486
"Ten Boer",0,0,0,3850,3440,0.528120713305898
"Borger-Odoorn",0,0,0,4800,20560,0.189274447949527
"Borne",0,7170,6710,5750,3160,1.78499341816586
"Borsele",0,0,0,7060,15630,0.31115028646981
"Boxtel",0,12120,8380,3850,6300,1.85872756933116
"Breda",62220,51430,40190,22170,6290,2.77410861217773
"Brielle",0,1630,4830,6390,3990,1.24346793349169
"Bronckhorst",0,0,0,14590,21820,0.400714089535842
"Brummen",0,0,8970,6190,5690,1.15731414868106
"Brunssum",1000,16890,8810,1530,140,2.60204441311244
"Bunnik",0,0,0,11530,3630,0.760554089709763
"Bunschoten",0,6070,7210,6500,1240,1.86156041864891
"Buren",0,0,0,1760,24590,0.0667931688804554
"Capelle aan den IJssel",20200,40220,5070,930,0,3.19978922011442
"Castricum",0,14650,4540,12800,3220,1.86963930701505
"Coevorden",0,0,5680,7420,22200,0.532011331444759
"Cranendonck",0,0,2390,10090,8200,0.719052224371373
"Cromstrijen",0,0,2820,6440,3530,0.944487881157154
"Cuijk",0,0,9910,7120,7670,1.09068825910931
"Culemborg",0,12160,11810,3150,750,2.26946537495515
"Dalfsen",0,0,3910,10540,13610,0.654312188168211
"Dantumadiel",0,0,0,8030,10920,0.423746701846966
"Delft",73150,21740,5860,410,220,3.6491418425725
"Delfzijl",0,390,6720,7330,10530,0.878654385262315
"Deurne",0,4080,9560,6110,12200,1.17276995305164
"Deventer",25290,23590,26070,15220,9130,2.40976837865055
"Diemen",14400,7530,4760,500,90,3.30681818181818
"Dinkelland",0,0,2050,9830,14360,0.530868902439024
"Doesburg",0,0,2360,8150,830,1.13492063492063
"Doetinchem",0,12400,19280,17130,8270,1.62736510161177
"Dongen",0,7310,9520,4530,4150,1.78361426891415
"Dongeradeel",0,0,5240,6240,12420,0.699581589958159
"Dordrecht",50870,49490,14160,3180,1030,3.22959656363177
"Drechterland",0,0,30,8580,10780,0.44559051057246
