Gemeente;Zeer sterk stedelijk;Sterk stedelijk;Matig stedelijk;Weinig stedelijk;Niet stedelijk
Aa en Hunze;0;0;0;4210;21080
Aalburg;0;0;0;4480;8590
Aalsmeer;0;0;12950;15520;2900
Aalten;0;880;8560;9680;7930
Achtkarspelen;0;0;0;11250;16640
Alblasserdam;0;11420;4770;3630;200
Albrandswaard;0;280;13610;10380;840
Alkmaar;36350;47830;9280;6390;8520
Almelo;7140;28600;21070;11150;4530
Almere;2410;111070;55720;24800;6910
Alphen aan den Rijn;31050;26990;20480;19590;10820
Alphen-Chaam;0;0;0;0;10060
Ameland;0;0;0;0;3630
Amersfoort;45120;76910;20490;9460;2360
Amstelveen;44430;32700;7390;3190;1580
Amsterdam;708530;110300;14300;7820;3990
Apeldoorn;25610;82150;20500;10860;20930
Appingedam;0;910;4030;6340;690
Arnhem;33880;76500;29930;12700;2690
Assen;6190;18600;21440;16630;4690
Asten;0;2300;5270;4660;4480
Baarle-Nassau;0;0;0;3290;3370
Baarn;1280;12580;6260;2930;1490
Barendrecht;0;31420;14890;1730;300
Barneveld;0;12570;9910;16380;17510
Bedum;0;0;1440;6070;2970
Beek (L.);0;0;7400;4090;4460
Beemster;0;380;1460;3990;3380
Beesel;0;0;3070;6830;3510
Bellingwedde;0;0;0;0;8920
Berg en Dal;0;0;6970;12790;15000
Bergeijk;0;0;2760;5220;10360
Bergen (L.);0;0;0;4050;9050
Bergen (NH.);0;1560;10680;9600;8000
Bergen op Zoom;15420;20450;14280;11920;4100
Berkelland;0;0;11500;16950;15780
Bernheze;0;0;5450;14870;9940
Best;0;9340;11260;6650;1930
Beuningen;0;5260;9000;3080;8090
Beverwijk;28400;7640;2060;290;2320
het Bildt;0;0;0;1770;8730
De Bilt;0;16760;9730;9490;6790
Binnenmaas;0;0;7110;9270;12740
Bladel;0;0;6920;7050;6090
Blaricum;10;2400;1360;5230;1190
Bloemendaal;1080;2730;6400;8910;3710
Bodegraven-Reeuwijk;0;10100;11390;3230;9010
Boekel;0;0;0;6530;3880
Ten Boer;0;0;0;3850;3440
Borger-Odoorn;0;0;0;4800;20560
Borne;0;7170;6710;5750;3160
Borsele;0;0;0;7060;15630
Boxmeer;0;0;7300;4840;16570
Boxtel;0;12120;8380;3850;6300
Breda;62220;51430;40190;22170;6290
Brielle;0;1630;4830;6390;3990
Bronckhorst;0;0;0;14590;21820
Brummen;0;0;8970;6190;5690
Brunssum;1000;16890;8810;1530;140
Bunnik;0;0;0;11530;3630
Bunschoten;0;6070;7210;6500;1240
Buren;0;0;0;1760;24590
Capelle aan den IJssel;20200;40220;5070;930;0
Castricum;0;14650;4540;12800;3220
Coevorden;0;0;5680;7420;22200
Cranendonck;0;0;2390;10090;8200
Cromstrijen;0;0;2820;6440;3530
Cuijk;0;0;9910;7120;7670
Culemborg;0;12160;11810;3150;750
Dalfsen;0;0;3910;10540;13610
Dantumadiel;0;0;0;8030;10920
Delft;73150;21740;5860;410;220
Delfzijl;0;390;6720;7330;10530
Deurne;0;4080;9560;6110;12200
Deventer;25290;23590;26070;15220;9130
Diemen;14400;7530;4760;500;90
Dinkelland;0;0;2050;9830;14360
Doesburg;0;0;2360;8150;830
Doetinchem;0;12400;19280;17130;8270
Dongen;0;7310;9520;4530;4150
Dongeradeel;0;0;5240;6240;12420
Dordrecht;50870;49490;14160;3180;1030
Drechterland;0;0;30;8580;10780
Drimmelen;0;1190;6170;10110;9410
Dronten;0;2530;8570;20480;9160
Druten;0;0;6850;6200;5520
Duiven;0;5340;10960;6000;3100
Echt-Susteren;0;1140;7260;10280;13150
Edam-Volendam;0;17250;7810;4300;6450
Ede;16130;39860;20450;14720;22270
Eemnes;0;0;4180;4110;710
Eemsmond;0;0;0;3870;11790
Eersel;0;0;3890;4500;10160
Eijsden-Margraten;0;0;2140;6810;16350
Eindhoven;105250;81050;26850;12740;980
Elburg;0;0;3520;13250;6260
Emmen;0;8930;32690;25100;40770
Enkhuizen;0;7350;9930;990;220
Enschede;49820;57180;24930;17120;9090
Epe;0;900;7890;13310;10440
Ermelo;0;2170;12260;8270;3890
Etten-Leur;0;27980;8000;4850;2200
Ferwerderadiel;0;0;0;0;8740
Franekeradeel;0;750;4660;5970;8840
De Fryske Marren;0;760;9390;14920;26510
Geertruidenberg;0;5310;8390;5590;2210
Geldermalsen;0;0;5120;9410;12060
Geldrop-Mierlo;0;14900;13340;9500;1340
Gemert-Bakel;0;4250;7510;7730;10530
Gennep;0;0;4330;5220;7580
Giessenlanden;0;0;0;1440;13160
Gilze en Rijen;0;8700;5060;9340;3110
Goeree-Overflakkee;0;3360;6780;19500;19010
Goes;0;14660;7200;7560;7860
Goirle;0;6890;7780;5610;3040
Gooise Meren;15510;20160;8820;6150;6300
Gorinchem;2790;19370;9330;3000;1270
Gouda;32740;26960;10030;1710;310
Grave;0;0;1000;7620;3750
's-Gravenhage (gemeente);429950;60230;25830;7170;1710
Groningen (gemeente);126100;33390;22450;11020;9680
Grootegast;0;0;0;0;12170
Gulpen-Wittem;0;0;0;2970;11370
Haaksbergen;0;3810;8230;7310;4920
Haaren;0;0;0;4050;9860
Haarlem;123880;30350;3930;320;740
Haarlemmerliede en Spaarnwoude;0;0;1480;700;3480
Haarlemmermeer;16810;68990;32040;17180;10980
Halderberge;0;1340;4460;16070;7710
Hardenberg;0;0;9500;18050;32660
Harderwijk;0;21480;19500;2050;3320
Hardinxveld-Giessendam;0;0;8540;7800;1540
Haren;0;1190;7770;6380;4230
Harlingen;0;1700;6980;5090;2090
Hattem;0;0;4610;5330;2100
Heemskerk;16890;15350;3110;2040;1780
Heemstede;2050;15170;3870;5230;620
Heerde;0;0;2260;10060;6240
Heerenveen;1290;13180;6650;8500;20580
Heerhugowaard;5480;29400;10610;5390;4070
Heerlen;8630;51270;20240;6090;960
Heeze-Leende;0;0;1370;6950;7390
Heiloo;0;9050;5290;7520;1000
Den Helder;7540;26000;16770;3800;1910
Hellendoorn;0;3680;7970;13690;10440
Hellevoetsluis;1620;20650;10180;4430;1860
Helmond;14430;32910;21900;18080;3290
Hendrik-Ido-Ambacht;1170;22040;5170;1290;70
Hengelo (O.);16810;32050;18280;10780;2880
's-Hertogenbosch;30250;57500;26690;22460;15510
Heumen;0;0;5450;6060;4970
Heusden;0;11620;10890;11490;9520
Hillegom;0;12910;5090;770;2540
Hilvarenbeek;0;0;2410;5500;7370
Hilversum;50230;22050;10030;5200;1370
Hof van Twente;0;0;6220;14860;13930
Hollands Kroon;0;0;1070;18360;28180
Hoogeveen;0;16640;13300;9720;15650
Hoogezand-Sappemeer;0;15640;6300;5890;6400
Hoorn;0;42510;21150;8680;150
Horst aan de Maas;0;1150;7660;12030;21300
Houten;0;25310;12310;8210;3470
Huizen;10500;18970;7870;2910;1130
Hulst;0;0;3030;7020;17350
IJsselstein;3060;19540;10510;570;530
Kaag en Braassem;0;0;4790;10870;10710
Kampen;2500;18230;13340;8840;9600
Kapelle;0;0;1060;8920;2650
Katwijk;17340;36680;7310;1200;2010
Kerkrade;5580;20990;13140;5870;350
Koggenland;0;0;20;10830;11670
Kollumerland en Nieuwkruisland;0;0;0;4640;8240
Korendijk;0;0;0;510;10450
Krimpen aan den IJssel;2770;19770;5760;820;10
Krimpenerwaard;0;1450;15060;24800;13890
Laarbeek;0;0;2220;11870;7850
Landerd;0;0;0;8370;6970
Landgraaf;0;20560;12440;3150;1300
Landsmeer;0;0;7260;2360;1650
Langedijk;0;0;11940;12950;2720
Lansingerland;0;19210;28240;9060;3590
Laren (NH.);0;0;6220;3900;970
Leek;0;0;5940;6600;7110
Leerdam;0;5850;9620;2260;3180
Leeuwarden;42150;24650;16510;12600;12760
Leeuwarderadeel;0;0;0;6820;3290
Leiden;94280;26810;2320;150;110
Leiderdorp;14500;5450;5830;1100;250
Leidschendam-Voorburg;42410;27060;2730;90;2310
Lelystad;0;34830;19830;14990;7300
Leudal;0;0;0;9880;26000
Leusden;0;9690;8490;7680;3820
Lingewaal;0;20;50;1340;9740
